Year,Еconomic activity,Value
2016,manufacture of clothing,
2017,manufacture of clothing,0.4
2018,manufacture of clothing,0.7
2019,manufacture of clothing,0.2
2020,manufacture of clothing,
2021,manufacture of clothing,
2022,manufacture of clothing,
2023,manufacture of clothing,
2015,"manufacture of leather, leather goods and other materials",0.1
2016,"manufacture of leather, leather goods and other materials",
2017,"manufacture of leather, leather goods and other materials",0.2
2018,"manufacture of leather, leather goods and other materials",3.6
2019,"manufacture of leather, leather goods and other materials",
2020,"manufacture of leather, leather goods and other materials",
2021,"manufacture of leather, leather goods and other materials",
2022,"manufacture of leather, leather goods and other materials",
2023,"manufacture of leather, leather goods and other materials",
2015,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.3
2016,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",
2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.3
2018,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.5
2019,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.1
2020,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1.5
2021,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",
2022,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",
2023,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",
2015,manufacture of paper and paper products,1.5
2016,manufacture of paper and paper products,
2017,manufacture of paper and paper products,0.2
2018,manufacture of paper and paper products,0.3
2019,manufacture of paper and paper products,0.1
2020,manufacture of paper and paper products,0.4
2021,manufacture of paper and paper products,
2022,manufacture of paper and paper products,
2023,manufacture of paper and paper products,
2015,"printing, reproduction of recorded information",3.8
2016,"printing, reproduction of recorded information",
2017,"printing, reproduction of recorded information",3.1
2018,"printing, reproduction of recorded information",7.7
2019,"printing, reproduction of recorded information",6.3
2020,"printing, reproduction of recorded information",
2021,"printing, reproduction of recorded information",
2022,"printing, reproduction of recorded information",
2023,"printing, reproduction of recorded information",
2015,manufacture of coke and refined petroleum products,0.4
2016,manufacture of coke and refined petroleum products,
2017,manufacture of coke and refined petroleum products,
2018,manufacture of coke and refined petroleum products,
2019,manufacture of coke and refined petroleum products,
2020,manufacture of coke and refined petroleum products,
2021,manufacture of coke and refined petroleum products,
2022,manufacture of coke and refined petroleum products,
2023,manufacture of coke and refined petroleum products,
2015,manufacture of chemicals and chemical products,3.3
2016,manufacture of chemicals and chemical products,
2017,manufacture of chemicals and chemical products,0.9
2018,manufacture of chemicals and chemical products,1.3
2019,manufacture of chemicals and chemical products,0.6
2020,manufacture of chemicals and chemical products,0.9
2021,manufacture of chemicals and chemical products,
2022,manufacture of chemicals and chemical products,
2023,manufacture of chemicals and chemical products,
2015,manufacture of main pharmaceutical products and preparations,3.0
2016,manufacture of main pharmaceutical products and preparations,
2017,manufacture of main pharmaceutical products and preparations,1.6
2018,manufacture of main pharmaceutical products and preparations,2.4
2019,manufacture of main pharmaceutical products and preparations,1.7
2020,manufacture of main pharmaceutical products and preparations,3.5
2021,manufacture of main pharmaceutical products and preparations,
2022,manufacture of main pharmaceutical products and preparations,
2023,manufacture of main pharmaceutical products and preparations,
2015,manufacture of rubber and plastic products,1.6
2016,manufacture of rubber and plastic products,
2017,manufacture of rubber and plastic products,1.6
2018,manufacture of rubber and plastic products,2.0
2019,manufacture of rubber and plastic products,1.8
2020,manufacture of rubber and plastic products,0.9
2021,manufacture of rubber and plastic products,
2022,manufacture of rubber and plastic products,
2023,manufacture of rubber and plastic products,
2015,manufacture of other non-metallic mineral products,0.3
2016,manufacture of other non-metallic mineral products,
2017,manufacture of other non-metallic mineral products,0.9
2018,manufacture of other non-metallic mineral products,1.0
2019,manufacture of other non-metallic mineral products,0.7
2020,manufacture of other non-metallic mineral products,1.1
2021,manufacture of other non-metallic mineral products,
2022,manufacture of other non-metallic mineral products,
2023,manufacture of other non-metallic mineral products,
2015,metallurgical manufacturing,2.2
2016,metallurgical manufacturing,
2017,metallurgical manufacturing,0.9
2018,metallurgical manufacturing,0.5
2019,metallurgical manufacturing,3.2
2020,metallurgical manufacturing,
2021,metallurgical manufacturing,
2022,metallurgical manufacturing,
2023,metallurgical manufacturing,
2015,"manufacture of fabricated metal products, except machinery and equipment",1.4
2016,"manufacture of fabricated metal products, except machinery and equipment",
2017,"manufacture of fabricated metal products, except machinery and equipment",1.2
2018,"manufacture of fabricated metal products, except machinery and equipment",2.7
2019,"manufacture of fabricated metal products, except machinery and equipment",0.7
2020,"manufacture of fabricated metal products, except machinery and equipment",1.5
2021,"manufacture of fabricated metal products, except machinery and equipment",
2022,"manufacture of fabricated metal products, except machinery and equipment",
2023,"manufacture of fabricated metal products, except machinery and equipment",
2015,"manufacture of computers, electronic and optical products",6.4
2016,"manufacture of computers, electronic and optical products",
2017,"manufacture of computers, electronic and optical products",3.1
2018,"manufacture of computers, electronic and optical products",5.8
2019,"manufacture of computers, electronic and optical products",6.3
2020,"manufacture of computers, electronic and optical products",9.9
2021,"manufacture of computers, electronic and optical products",
2022,"manufacture of computers, electronic and optical products",
2023,"manufacture of computers, electronic and optical products",
2015,manufacture of electrical equipment,6.1
2016,manufacture of electrical equipment,
2017,manufacture of electrical equipment,2.5
2018,manufacture of electrical equipment,3.3
2019,manufacture of electrical equipment,4.1
2020,manufacture of electrical equipment,7.8
2021,manufacture of electrical equipment,
2022,manufacture of electrical equipment,
2023,manufacture of electrical equipment,
2015,"manufacture of machinery and equipment, not elsewhere classified",7.7
2016,"manufacture of machinery and equipment, not elsewhere classified",
2017,"manufacture of machinery and equipment, not elsewhere classified",3.5
2018,"manufacture of machinery and equipment, not elsewhere classified",2.6
2019,"manufacture of machinery and equipment, not elsewhere classified",8.1
2020,"manufacture of machinery and equipment, not elsewhere classified",5.8
2021,"manufacture of machinery and equipment, not elsewhere classified",
2022,"manufacture of machinery and equipment, not elsewhere classified",
2023,"manufacture of machinery and equipment, not elsewhere classified",
2015,"manufacture of motor vehicles, trailers and semi-trailers",4.3
2016,"manufacture of motor vehicles, trailers and semi-trailers",
2017,"manufacture of motor vehicles, trailers and semi-trailers",2.3
2018,"manufacture of motor vehicles, trailers and semi-trailers",5.0
2019,"manufacture of motor vehicles, trailers and semi-trailers",5.6
2020,"manufacture of motor vehicles, trailers and semi-trailers",3.6
2021,"manufacture of motor vehicles, trailers and semi-trailers",
2022,"manufacture of motor vehicles, trailers and semi-trailers",
2023,"manufacture of motor vehicles, trailers and semi-trailers",
2015,manufacture of other vehicles,5.9
2016,manufacture of other vehicles,
2017,manufacture of other vehicles,5.4
2018,manufacture of other vehicles,5.3
2019,manufacture of other vehicles,1.6
2020,manufacture of other vehicles,4.4
2021,manufacture of other vehicles,
2022,manufacture of other vehicles,
2023,manufacture of other vehicles,
2015,manufacture of furniture,2.8
2016,manufacture of furniture,
2017,manufacture of furniture,0.7
2018,manufacture of furniture,2.2
2019,manufacture of furniture,1.0
2020,manufacture of furniture,1.4
2021,manufacture of furniture,
2022,manufacture of furniture,
2023,manufacture of furniture,
2015,manufacture of other products,1.1
2016,manufacture of other products,
2017,manufacture of other products,1.0
2018,manufacture of other products,0.5
2019,manufacture of other products,0.3
2020,manufacture of other products,3.1
2021,manufacture of other products,
2022,manufacture of other products,
2023,manufacture of other products,
2015,repair and installation of machinery and equipment,0.9
2016,repair and installation of machinery and equipment,
2017,repair and installation of machinery and equipment,0.1
2018,repair and installation of machinery and equipment,0.7
2019,repair and installation of machinery and equipment,0.4
2020,repair and installation of machinery and equipment,0.2
2021,repair and installation of machinery and equipment,
2022,repair and installation of machinery and equipment,
2023,repair and installation of machinery and equipment,
2015,"supply of electricity, gas, steam and air conditioning",0.0
2016,"supply of electricity, gas, steam and air conditioning",
2017,"supply of electricity, gas, steam and air conditioning",0.0
2018,"supply of electricity, gas, steam and air conditioning",
2019,"supply of electricity, gas, steam and air conditioning",
2020,"supply of electricity, gas, steam and air conditioning",
2021,"supply of electricity, gas, steam and air conditioning",
2022,"supply of electricity, gas, steam and air conditioning",
2023,"supply of electricity, gas, steam and air conditioning",
2015,"water supply; sewage, waste management",0.0
2016,"water supply; sewage, waste management",
2017,"water supply; sewage, waste management",0.0
2018,"water supply; sewage, waste management",
2019,"water supply; sewage, waste management",
2020,"water supply; sewage, waste management",
2021,"water supply; sewage, waste management",
2022,"water supply; sewage, waste management",
2023,"water supply; sewage, waste management",
2015,"water collection, treatment and supply",0.0
2016,"water collection, treatment and supply",
2017,"water collection, treatment and supply",
2018,"water collection, treatment and supply",
2019,"water collection, treatment and supply",
2020,"water collection, treatment and supply",
2021,"water collection, treatment and supply",
2022,"water collection, treatment and supply",
2023,"water collection, treatment and supply",
2015,"sewage, wastewater collection and treatment",
2016,"sewage, wastewater collection and treatment",
2017,"sewage, wastewater collection and treatment",
2018,"sewage, wastewater collection and treatment",
2019,"sewage, wastewater collection and treatment",
2020,"sewage, wastewater collection and treatment",
2021,"sewage, wastewater collection and treatment",
2022,"sewage, wastewater collection and treatment",
2023,"sewage, wastewater collection and treatment",
2015,"collection, treatment and disposal of waste; restoration of materials",0.0
2016,"collection, treatment and disposal of waste; restoration of materials",
2017,"collection, treatment and disposal of waste; restoration of materials",0.0
2018,"collection, treatment and disposal of waste; restoration of materials",
2019,"collection, treatment and disposal of waste; restoration of materials",
2020,"collection, treatment and disposal of waste; restoration of materials",
2021,"collection, treatment and disposal of waste; restoration of materials",
2022,"collection, treatment and disposal of waste; restoration of materials",
2023,"collection, treatment and disposal of waste; restoration of materials",
2015,other waste management activities,
2016,other waste management activities,
2017,other waste management activities,
2018,other waste management activities,
2019,other waste management activities,
2020,other waste management activities,
2021,other waste management activities,
2022,other waste management activities,
2023,other waste management activities,
