Year,Type of residence,Value
2015,,31.4
2016,,34.4
2017,,28.9
2018,,27.9
2019,,29.3
2020,,25.1
2021,,22.4
2022,,
2023,,
2015,urban,31.8
2016,urban,32.0
2017,urban,30.2
2018,urban,28.9
2019,urban,27.1
2020,urban,26.2
2021,urban,21.1
2022,urban,
2023,urban,
2015,rural,30.5
2016,rural,39.1
2017,rural,26.7
2018,rural,25.8
2019,rural,34.1
2020,rural,22.9
2021,rural,25.3
2022,rural,
2023,rural,
