Year,Види економічної діяльності,Value
2023,Виробництво харчових продуктів,
2015,Виробництво напоїв,2.6
2016,Виробництво напоїв,
2017,Виробництво напоїв,3.2
2018,Виробництво напоїв,3.1
2019,Виробництво напоїв,2.3
2020,Виробництво напоїв,1.6
2021,Виробництво напоїв,
2022,Виробництво напоїв,
2023,Виробництво напоїв,
2015,Виробництво тютюнових виробів,0.4
2016,Виробництво тютюнових виробів,
2017,Виробництво тютюнових виробів,0.8
2018,Виробництво тютюнових виробів,0.2
2019,Виробництво тютюнових виробів,
2020,Виробництво тютюнових виробів,
2021,Виробництво тютюнових виробів,
2022,Виробництво тютюнових виробів,
2023,Виробництво тютюнових виробів,
2015,Текстильне виробництво,1.6
2016,Текстильне виробництво,
2017,Текстильне виробництво,3.9
2018,Текстильне виробництво,1.1
2019,Текстильне виробництво,0.4
2020,Текстильне виробництво,1.3
2021,Текстильне виробництво,
2022,Текстильне виробництво,
2023,Текстильне виробництво,
2015,Виробництво одягу,0.6
2016,Виробництво одягу,
2017,Виробництво одягу,0.4
2018,Виробництво одягу,0.7
2019,Виробництво одягу,0.2
2020,Виробництво одягу,
2021,Виробництво одягу,
2022,Виробництво одягу,
2023,Виробництво одягу,
2015,"Виробництво шкіри, виробів зі шкіри та інших матеріалів",0.1
2016,"Виробництво шкіри, виробів зі шкіри та інших матеріалів",
2017,"Виробництво шкіри, виробів зі шкіри та інших матеріалів",0.2
2018,"Виробництво шкіри, виробів зі шкіри та інших матеріалів",3.6
2019,"Виробництво шкіри, виробів зі шкіри та інших матеріалів",
2020,"Виробництво шкіри, виробів зі шкіри та інших матеріалів",
2021,"Виробництво шкіри, виробів зі шкіри та інших матеріалів",
2022,"Виробництво шкіри, виробів зі шкіри та інших матеріалів",
2023,"Виробництво шкіри, виробів зі шкіри та інших матеріалів",
2015,"Оброблення деревини та виготовлення виробів з деревини та корка, крім меблів; виготовлення виробів із соломки та рослинних матеріалів для плетіння",0.3
2016,"Оброблення деревини та виготовлення виробів з деревини та корка, крім меблів; виготовлення виробів із соломки та рослинних матеріалів для плетіння",
2017,"Оброблення деревини та виготовлення виробів з деревини та корка, крім меблів; виготовлення виробів із соломки та рослинних матеріалів для плетіння",0.3
2018,"Оброблення деревини та виготовлення виробів з деревини та корка, крім меблів; виготовлення виробів із соломки та рослинних матеріалів для плетіння",0.5
2019,"Оброблення деревини та виготовлення виробів з деревини та корка, крім меблів; виготовлення виробів із соломки та рослинних матеріалів для плетіння",0.1
2020,"Оброблення деревини та виготовлення виробів з деревини та корка, крім меблів; виготовлення виробів із соломки та рослинних матеріалів для плетіння",1.5
2021,"Оброблення деревини та виготовлення виробів з деревини та корка, крім меблів; виготовлення виробів із соломки та рослинних матеріалів для плетіння",
2022,"Оброблення деревини та виготовлення виробів з деревини та корка, крім меблів; виготовлення виробів із соломки та рослинних матеріалів для плетіння",
2023,"Оброблення деревини та виготовлення виробів з деревини та корка, крім меблів; виготовлення виробів із соломки та рослинних матеріалів для плетіння",
2015,Виробництво паперу та паперових виробів,1.5
2016,Виробництво паперу та паперових виробів,
2017,Виробництво паперу та паперових виробів,0.2
2018,Виробництво паперу та паперових виробів,0.3
2019,Виробництво паперу та паперових виробів,0.1
2020,Виробництво паперу та паперових виробів,0.4
2021,Виробництво паперу та паперових виробів,
2022,Виробництво паперу та паперових виробів,
2023,Виробництво паперу та паперових виробів,
2015,"Поліграфічна діяльність, тиражування записаної інформації",3.8
2016,"Поліграфічна діяльність, тиражування записаної інформації",
2017,"Поліграфічна діяльність, тиражування записаної інформації",3.1
2018,"Поліграфічна діяльність, тиражування записаної інформації",7.7
2019,"Поліграфічна діяльність, тиражування записаної інформації",6.3
2020,"Поліграфічна діяльність, тиражування записаної інформації",
2021,"Поліграфічна діяльність, тиражування записаної інформації",
2022,"Поліграфічна діяльність, тиражування записаної інформації",
2023,"Поліграфічна діяльність, тиражування записаної інформації",
2015,Виробництво коксу та продуктів нафтоперероблення,0.4
2016,Виробництво коксу та продуктів нафтоперероблення,
2017,Виробництво коксу та продуктів нафтоперероблення,
2018,Виробництво коксу та продуктів нафтоперероблення,
2019,Виробництво коксу та продуктів нафтоперероблення,
2020,Виробництво коксу та продуктів нафтоперероблення,
2021,Виробництво коксу та продуктів нафтоперероблення,
2022,Виробництво коксу та продуктів нафтоперероблення,
2023,Виробництво коксу та продуктів нафтоперероблення,
2015,Виробництво хімічних речовин і хімічної продукції,3.3
2016,Виробництво хімічних речовин і хімічної продукції,
2017,Виробництво хімічних речовин і хімічної продукції,0.9
2018,Виробництво хімічних речовин і хімічної продукції,1.3
2019,Виробництво хімічних речовин і хімічної продукції,0.6
2020,Виробництво хімічних речовин і хімічної продукції,0.9
2021,Виробництво хімічних речовин і хімічної продукції,
2022,Виробництво хімічних речовин і хімічної продукції,
2023,Виробництво хімічних речовин і хімічної продукції,
2015,Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів,3.0
2016,Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів,
2017,Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів,1.6
2018,Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів,2.4
2019,Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів,1.7
2020,Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів,3.5
2021,Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів,
2022,Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів,
2023,Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів,
2015,Виробництво гумових і пластмасових виробів,1.6
2016,Виробництво гумових і пластмасових виробів,
2017,Виробництво гумових і пластмасових виробів,1.6
2018,Виробництво гумових і пластмасових виробів,2.0
2019,Виробництво гумових і пластмасових виробів,1.8
2020,Виробництво гумових і пластмасових виробів,0.9
2021,Виробництво гумових і пластмасових виробів,
2022,Виробництво гумових і пластмасових виробів,
2023,Виробництво гумових і пластмасових виробів,
2015,Виробництво іншої неметалевої мінеральної продукції,0.3
2016,Виробництво іншої неметалевої мінеральної продукції,
2017,Виробництво іншої неметалевої мінеральної продукції,0.9
2018,Виробництво іншої неметалевої мінеральної продукції,1.0
2019,Виробництво іншої неметалевої мінеральної продукції,0.7
2020,Виробництво іншої неметалевої мінеральної продукції,1.1
2021,Виробництво іншої неметалевої мінеральної продукції,
2022,Виробництво іншої неметалевої мінеральної продукції,
2023,Виробництво іншої неметалевої мінеральної продукції,
2015,Металургійне виробництво,2.2
2016,Металургійне виробництво,
2017,Металургійне виробництво,0.9
2018,Металургійне виробництво,0.5
2019,Металургійне виробництво,3.2
2020,Металургійне виробництво,
2021,Металургійне виробництво,
2022,Металургійне виробництво,
2023,Металургійне виробництво,
2015,"Виробництво готових металевих виробів, крім машин і устатковання",1.4
2016,"Виробництво готових металевих виробів, крім машин і устатковання",
2017,"Виробництво готових металевих виробів, крім машин і устатковання",1.2
2018,"Виробництво готових металевих виробів, крім машин і устатковання",2.7
2019,"Виробництво готових металевих виробів, крім машин і устатковання",0.7
2020,"Виробництво готових металевих виробів, крім машин і устатковання",1.5
2021,"Виробництво готових металевих виробів, крім машин і устатковання",
2022,"Виробництво готових металевих виробів, крім машин і устатковання",
2023,"Виробництво готових металевих виробів, крім машин і устатковання",
2015,"Виробництво комп'ютерів, електронної та оптичної продукції",6.4
2016,"Виробництво комп'ютерів, електронної та оптичної продукції",
2017,"Виробництво комп'ютерів, електронної та оптичної продукції",3.1
2018,"Виробництво комп'ютерів, електронної та оптичної продукції",5.8
2019,"Виробництво комп'ютерів, електронної та оптичної продукції",6.3
2020,"Виробництво комп'ютерів, електронної та оптичної продукції",9.9
2021,"Виробництво комп'ютерів, електронної та оптичної продукції",
2022,"Виробництво комп'ютерів, електронної та оптичної продукції",
2023,"Виробництво комп'ютерів, електронної та оптичної продукції",
2015,Виробництво електричного устатковання,6.1
2016,Виробництво електричного устатковання,
2017,Виробництво електричного устатковання,2.5
2018,Виробництво електричного устатковання,3.3
2019,Виробництво електричного устатковання,4.1
2020,Виробництво електричного устатковання,7.8
2021,Виробництво електричного устатковання,
2022,Виробництво електричного устатковання,
2023,Виробництво електричного устатковання,
2015,"Виробництво машин і устатковання, н.в.і.у.",7.7
2016,"Виробництво машин і устатковання, н.в.і.у.",
2017,"Виробництво машин і устатковання, н.в.і.у.",3.5
2018,"Виробництво машин і устатковання, н.в.і.у.",2.6
2019,"Виробництво машин і устатковання, н.в.і.у.",8.1
2020,"Виробництво машин і устатковання, н.в.і.у.",5.8
2021,"Виробництво машин і устатковання, н.в.і.у.",
2022,"Виробництво машин і устатковання, н.в.і.у.",
2023,"Виробництво машин і устатковання, н.в.і.у.",
2015,"Виробництво автотранспортних засобів, причепів і напівпричепів",4.3
2016,"Виробництво автотранспортних засобів, причепів і напівпричепів",
2017,"Виробництво автотранспортних засобів, причепів і напівпричепів",2.3
2018,"Виробництво автотранспортних засобів, причепів і напівпричепів",5.0
2019,"Виробництво автотранспортних засобів, причепів і напівпричепів",5.6
2020,"Виробництво автотранспортних засобів, причепів і напівпричепів",3.6
2021,"Виробництво автотранспортних засобів, причепів і напівпричепів",
2022,"Виробництво автотранспортних засобів, причепів і напівпричепів",
2023,"Виробництво автотранспортних засобів, причепів і напівпричепів",
2015,Виробництво інших транспортних засобів,5.9
2016,Виробництво інших транспортних засобів,
2017,Виробництво інших транспортних засобів,5.4
2018,Виробництво інших транспортних засобів,5.3
2019,Виробництво інших транспортних засобів,1.6
2020,Виробництво інших транспортних засобів,4.4
2021,Виробництво інших транспортних засобів,
2022,Виробництво інших транспортних засобів,
2023,Виробництво інших транспортних засобів,
2015,Виробництво меблів,2.8
2016,Виробництво меблів,
2017,Виробництво меблів,0.7
2018,Виробництво меблів,2.2
2019,Виробництво меблів,1.0
2020,Виробництво меблів,1.4
2021,Виробництво меблів,
2022,Виробництво меблів,
2023,Виробництво меблів,
2015,Виробництво іншої продукції,1.1
2016,Виробництво іншої продукції,
2017,Виробництво іншої продукції,1.0
2018,Виробництво іншої продукції,0.5
2019,Виробництво іншої продукції,0.3
2020,Виробництво іншої продукції,3.1
2021,Виробництво іншої продукції,
2022,Виробництво іншої продукції,
2023,Виробництво іншої продукції,
2015,Ремонт і монтаж машин і устатковання,0.9
2016,Ремонт і монтаж машин і устатковання,
2017,Ремонт і монтаж машин і устатковання,0.1
2018,Ремонт і монтаж машин і устатковання,0.7
2019,Ремонт і монтаж машин і устатковання,0.4
2020,Ремонт і монтаж машин і устатковання,0.2
2021,Ремонт і монтаж машин і устатковання,
2022,Ремонт і монтаж машин і устатковання,
2023,Ремонт і монтаж машин і устатковання,
2015,"Постачання електроенергії, газу, пари та кондиційованого повітря",0.0
2016,"Постачання електроенергії, газу, пари та кондиційованого повітря",
2017,"Постачання електроенергії, газу, пари та кондиційованого повітря",0.0
2018,"Постачання електроенергії, газу, пари та кондиційованого повітря",
2019,"Постачання електроенергії, газу, пари та кондиційованого повітря",
2020,"Постачання електроенергії, газу, пари та кондиційованого повітря",
2021,"Постачання електроенергії, газу, пари та кондиційованого повітря",
2022,"Постачання електроенергії, газу, пари та кондиційованого повітря",
2023,"Постачання електроенергії, газу, пари та кондиційованого повітря",
2015,"Водопостачання каналізація, поводження з відходами",0.0
2016,"Водопостачання каналізація, поводження з відходами",
2017,"Водопостачання каналізація, поводження з відходами",0.0
2018,"Водопостачання каналізація, поводження з відходами",
2019,"Водопостачання каналізація, поводження з відходами",
2020,"Водопостачання каналізація, поводження з відходами",
2021,"Водопостачання каналізація, поводження з відходами",
2022,"Водопостачання каналізація, поводження з відходами",
2023,"Водопостачання каналізація, поводження з відходами",
2015,"Забір, очищення та постачання води",0.0
2016,"Забір, очищення та постачання води",
2017,"Забір, очищення та постачання води",
2018,"Забір, очищення та постачання води",
2019,"Забір, очищення та постачання води",
2020,"Забір, очищення та постачання води",
2021,"Забір, очищення та постачання води",
2022,"Забір, очищення та постачання води",
2023,"Забір, очищення та постачання води",
2015,"Каналізація, відведення й очищення стічних вод",
2016,"Каналізація, відведення й очищення стічних вод",
2017,"Каналізація, відведення й очищення стічних вод",
2018,"Каналізація, відведення й очищення стічних вод",
2019,"Каналізація, відведення й очищення стічних вод",
2020,"Каналізація, відведення й очищення стічних вод",
2021,"Каналізація, відведення й очищення стічних вод",
2022,"Каналізація, відведення й очищення стічних вод",
2023,"Каналізація, відведення й очищення стічних вод",
2015,"Збирання, оброблення й видалення відходів; відновлення матеріалів",0.0
2016,"Збирання, оброблення й видалення відходів; відновлення матеріалів",
2017,"Збирання, оброблення й видалення відходів; відновлення матеріалів",0.0
2018,"Збирання, оброблення й видалення відходів; відновлення матеріалів",
2019,"Збирання, оброблення й видалення відходів; відновлення матеріалів",
2020,"Збирання, оброблення й видалення відходів; відновлення матеріалів",
2021,"Збирання, оброблення й видалення відходів; відновлення матеріалів",
2022,"Збирання, оброблення й видалення відходів; відновлення матеріалів",
2023,"Збирання, оброблення й видалення відходів; відновлення матеріалів",
2015,Інша діяльність щодо поводження з відходами,
2016,Інша діяльність щодо поводження з відходами,
2017,Інша діяльність щодо поводження з відходами,
2018,Інша діяльність щодо поводження з відходами,
2019,Інша діяльність щодо поводження з відходами,
2020,Інша діяльність щодо поводження з відходами,
2021,Інша діяльність щодо поводження з відходами,
2022,Інша діяльність щодо поводження з відходами,
2023,Інша діяльність щодо поводження з відходами,
