Year,Місцевість проживання,Область,Value
2023,міська,Донецька,
2015,міська,Житомирська,
2016,міська,Житомирська,
2017,міська,Житомирська,
2018,міська,Житомирська,
2019,міська,Житомирська,47.0
2020,міська,Житомирська,52.0
2021,міська,Житомирська,57.0
2022,міська,Житомирська,57.0
2023,міська,Житомирська,59.0
2015,міська,Закарпатська,
2016,міська,Закарпатська,
2017,міська,Закарпатська,
2018,міська,Закарпатська,
2019,міська,Закарпатська,52.0
2020,міська,Закарпатська,51.0
2021,міська,Закарпатська,49.0
2022,міська,Закарпатська,59.0
2023,міська,Закарпатська,56.0
2015,міська,Запорізька,
2016,міська,Запорізька,
2017,міська,Запорізька,
2018,міська,Запорізька,
2019,міська,Запорізька,59.0
2020,міська,Запорізька,65.0
2021,міська,Запорізька,64.0
2022,міська,Запорізька,
2023,міська,Запорізька,
2015,міська,Івано-Франківська,
2016,міська,Івано-Франківська,
2017,міська,Івано-Франківська,
2018,міська,Івано-Франківська,
2019,міська,Івано-Франківська,68.0
2020,міська,Івано-Франківська,76.0
2021,міська,Івано-Франківська,70.0
2022,міська,Івано-Франківська,77.0
2023,міська,Івано-Франківська,80.0
2015,міська,Київська,
2016,міська,Київська,
2017,міська,Київська,
2018,міська,Київська,
2019,міська,Київська,76.0
2020,міська,Київська,77.0
2021,міська,Київська,76.0
2022,міська,Київська,80.0
2023,міська,Київська,84.0
2015,міська,Кіровоградська,
2016,міська,Кіровоградська,
2017,міська,Кіровоградська,
2018,міська,Кіровоградська,
2019,міська,Кіровоградська,41.0
2020,міська,Кіровоградська,44.0
2021,міська,Кіровоградська,45.0
2022,міська,Кіровоградська,41.0
2023,міська,Кіровоградська,49.0
2015,міська,Луганська,
2016,міська,Луганська,
2017,міська,Луганська,
2018,міська,Луганська,
2019,міська,Луганська,30.0
2020,міська,Луганська,36.0
2021,міська,Луганська,28.0
2022,міська,Луганська,
2023,міська,Луганська,
2015,міська,Львівська,
2016,міська,Львівська,
2017,міська,Львівська,
2018,міська,Львівська,
2019,міська,Львівська,67.0
2020,міська,Львівська,73.0
2021,міська,Львівська,77.0
2022,міська,Львівська,80.0
2023,міська,Львівська,84.0
2015,міська,Миколаївська,
2016,міська,Миколаївська,
2017,міська,Миколаївська,
2018,міська,Миколаївська,
2019,міська,Миколаївська,55.0
2020,міська,Миколаївська,55.0
2021,міська,Миколаївська,59.0
2022,міська,Миколаївська,56.0
2023,міська,Миколаївська,54.0
2015,міська,Одеська,
2016,міська,Одеська,
2017,міська,Одеська,
2018,міська,Одеська,
2019,міська,Одеська,80.0
2020,міська,Одеська,89.0
2021,міська,Одеська,79.0
2022,міська,Одеська,72.0
2023,міська,Одеська,71.0
2015,міська,Полтавська,
2016,міська,Полтавська,
2017,міська,Полтавська,
2018,міська,Полтавська,
2019,міська,Полтавська,51.0
2020,міська,Полтавська,50.0
2021,міська,Полтавська,56.0
2022,міська,Полтавська,63.0
2023,міська,Полтавська,66.0
2015,міська,Рівненська,
2016,міська,Рівненська,
2017,міська,Рівненська,
2018,міська,Рівненська,
2019,міська,Рівненська,71.0
2020,міська,Рівненська,77.0
2021,міська,Рівненська,70.0
2022,міська,Рівненська,70.0
2023,міська,Рівненська,73.0
2015,міська,Сумська,
2016,міська,Сумська,
2017,міська,Сумська,
2018,міська,Сумська,
2019,міська,Сумська,64.0
2020,міська,Сумська,65.0
2021,міська,Сумська,63.0
2022,міська,Сумська,60.0
2023,міська,Сумська,63.0
2015,міська,Тернопільська,
2016,міська,Тернопільська,
2017,міська,Тернопільська,
2018,міська,Тернопільська,
2019,міська,Тернопільська,55.0
2020,міська,Тернопільська,57.0
2021,міська,Тернопільська,82.0
2022,міська,Тернопільська,59.0
2023,міська,Тернопільська,63.0
2015,міська,Харківська,
2016,міська,Харківська,
2017,міська,Харківська,
2018,міська,Харківська,
2019,міська,Харківська,45.0
2020,міська,Харківська,44.0
2021,міська,Харківська,39.0
2022,міська,Харківська,31.0
2023,міська,Харківська,48.0
2015,міська,Херсонська,
2016,міська,Херсонська,
2017,міська,Херсонська,
2018,міська,Херсонська,
2019,міська,Херсонська,60.0
2020,міська,Херсонська,60.0
2021,міська,Херсонська,57.0
2022,міська,Херсонська,
2023,міська,Херсонська,
2015,міська,Хмельницька,
2016,міська,Хмельницька,
2017,міська,Хмельницька,
2018,міська,Хмельницька,
2019,міська,Хмельницька,76.0
2020,міська,Хмельницька,77.0
2021,міська,Хмельницька,79.0
2022,міська,Хмельницька,81.0
2023,міська,Хмельницька,85.0
2015,міська,Черкаська,
2016,міська,Черкаська,
2017,міська,Черкаська,
2018,міська,Черкаська,
2019,міська,Черкаська,51.0
2020,міська,Черкаська,52.0
2021,міська,Черкаська,46.0
2022,міська,Черкаська,42.0
2023,міська,Черкаська,33.0
2015,міська,Чернівецька,
2016,міська,Чернівецька,
2017,міська,Чернівецька,
2018,міська,Чернівецька,
2019,міська,Чернівецька,54.0
2020,міська,Чернівецька,42.0
2021,міська,Чернівецька,62.0
2022,міська,Чернівецька,51.0
2023,міська,Чернівецька,53.0
2015,міська,Чернігівська,
2016,міська,Чернігівська,
2017,міська,Чернігівська,
2018,міська,Чернігівська,
2019,міська,Чернігівська,45.0
2020,міська,Чернігівська,54.0
2021,міська,Чернігівська,54.0
2022,міська,Чернігівська,54.0
2023,міська,Чернігівська,55.0
2015,міська,місто Київ,
2016,міська,місто Київ,
2017,міська,місто Київ,
2018,міська,місто Київ,
2019,міська,місто Київ,78.0
2020,міська,місто Київ,86.0
2021,міська,місто Київ,86.0
2022,міська,місто Київ,84.0
2023,міська,місто Київ,92.0
2015,сільська,,
2016,сільська,,
2017,сільська,,
2018,сільська,,
2019,сільська,,22.0
2020,сільська,,34.0
2021,сільська,,42.0
2022,сільська,,47.0
2023,сільська,,54.0
2015,сільська,Вінницька,
2016,сільська,Вінницька,
2017,сільська,Вінницька,
2018,сільська,Вінницька,
2019,сільська,Вінницька,13.0
2020,сільська,Вінницька,21.0
2021,сільська,Вінницька,30.0
2022,сільська,Вінницька,33.0
2023,сільська,Вінницька,45.0
2015,сільська,Волинська,
2016,сільська,Волинська,
2017,сільська,Волинська,
2018,сільська,Волинська,
2019,сільська,Волинська,41.0
2020,сільська,Волинська,46.0
2021,сільська,Волинська,66.0
2022,сільська,Волинська,64.0
2023,сільська,Волинська,70.0
2015,сільська,Дніпропетровська,
2016,сільська,Дніпропетровська,
2017,сільська,Дніпропетровська,
2018,сільська,Дніпропетровська,
2019,сільська,Дніпропетровська,26.0
2020,сільська,Дніпропетровська,39.0
2021,сільська,Дніпропетровська,36.0
2022,сільська,Дніпропетровська,39.0
2023,сільська,Дніпропетровська,41.0
2015,сільська,Донецька,
2016,сільська,Донецька,
2017,сільська,Донецька,
2018,сільська,Донецька,
2019,сільська,Донецька,17.0
2020,сільська,Донецька,34.0
2021,сільська,Донецька,37.0
2022,сільська,Донецька,
2023,сільська,Донецька,
2015,сільська,Житомирська,
2016,сільська,Житомирська,
2017,сільська,Житомирська,
2018,сільська,Житомирська,
2019,сільська,Житомирська,13.0
2020,сільська,Житомирська,26.0
2021,сільська,Житомирська,37.0
2022,сільська,Житомирська,45.0
2023,сільська,Житомирська,52.0
2015,сільська,Закарпатська,
2016,сільська,Закарпатська,
2017,сільська,Закарпатська,
2018,сільська,Закарпатська,
2019,сільська,Закарпатська,24.0
2020,сільська,Закарпатська,28.0
2021,сільська,Закарпатська,36.0
2022,сільська,Закарпатська,37.0
2023,сільська,Закарпатська,40.0
2015,сільська,Запорізька,
2016,сільська,Запорізька,
2017,сільська,Запорізька,
2018,сільська,Запорізька,
2019,сільська,Запорізька,32.0
2020,сільська,Запорізька,38.0
2021,сільська,Запорізька,48.0
2022,сільська,Запорізька,
2023,сільська,Запорізька,
2015,сільська,Івано-Франківська,
2016,сільська,Івано-Франківська,
2017,сільська,Івано-Франківська,
2018,сільська,Івано-Франківська,
2019,сільська,Івано-Франківська,21.0
2020,сільська,Івано-Франківська,34.0
2021,сільська,Івано-Франківська,29.0
2022,сільська,Івано-Франківська,41.0
2023,сільська,Івано-Франківська,54.0
2015,сільська,Київська,
2016,сільська,Київська,
2017,сільська,Київська,
2018,сільська,Київська,
2019,сільська,Київська,60.0
2020,сільська,Київська,74.0
2021,сільська,Київська,92.0
2022,сільська,Київська,103.0
2023,сільська,Київська,110.0
2015,сільська,Кіровоградська,
2016,сільська,Кіровоградська,
2017,сільська,Кіровоградська,
2018,сільська,Кіровоградська,
2019,сільська,Кіровоградська,10.0
2020,сільська,Кіровоградська,16.0
2021,сільська,Кіровоградська,28.0
2022,сільська,Кіровоградська,26.0
2023,сільська,Кіровоградська,36.0
2015,сільська,Луганська,
2016,сільська,Луганська,
2017,сільська,Луганська,
2018,сільська,Луганська,
2019,сільська,Луганська,16.0
2020,сільська,Луганська,22.0
2021,сільська,Луганська,31.0
2022,сільська,Луганська,
2023,сільська,Луганська,
2015,сільська,Львівська,
2016,сільська,Львівська,
2017,сільська,Львівська,
2018,сільська,Львівська,
2019,сільська,Львівська,32.0
2020,сільська,Львівська,49.0
2021,сільська,Львівська,57.0
2022,сільська,Львівська,61.0
2023,сільська,Львівська,64.0
2015,сільська,Миколаївська,
2016,сільська,Миколаївська,
2017,сільська,Миколаївська,
2018,сільська,Миколаївська,
2019,сільська,Миколаївська,15.0
2020,сільська,Миколаївська,27.0
2021,сільська,Миколаївська,39.0
2022,сільська,Миколаївська,40.0
2023,сільська,Миколаївська,42.0
2015,сільська,Одеська,
2016,сільська,Одеська,
2017,сільська,Одеська,
2018,сільська,Одеська,
2019,сільська,Одеська,19.0
2020,сільська,Одеська,30.0
2021,сільська,Одеська,37.0
2022,сільська,Одеська,40.0
2023,сільська,Одеська,47.0
2015,сільська,Полтавська,
2016,сільська,Полтавська,
2017,сільська,Полтавська,
2018,сільська,Полтавська,
2019,сільська,Полтавська,13.0
2020,сільська,Полтавська,31.0
2021,сільська,Полтавська,37.0
2022,сільська,Полтавська,46.0
2023,сільська,Полтавська,45.0
2015,сільська,Рівненська,
2016,сільська,Рівненська,
2017,сільська,Рівненська,
2018,сільська,Рівненська,
2019,сільська,Рівненська,25.0
2020,сільська,Рівненська,36.0
2021,сільська,Рівненська,43.0
2022,сільська,Рівненська,51.0
2023,сільська,Рівненська,57.0
2015,сільська,Сумська,
2016,сільська,Сумська,
2017,сільська,Сумська,
2018,сільська,Сумська,
2019,сільська,Сумська,12.0
2020,сільська,Сумська,23.0
2021,сільська,Сумська,31.0
2022,сільська,Сумська,37.0
2023,сільська,Сумська,42.0
2015,сільська,Тернопільська,
2016,сільська,Тернопільська,
2017,сільська,Тернопільська,
2018,сільська,Тернопільська,
2019,сільська,Тернопільська,41.0
2020,сільська,Тернопільська,49.0
2021,сільська,Тернопільська,30.0
2022,сільська,Тернопільська,54.0
2023,сільська,Тернопільська,58.0
2015,сільська,Харківська,
2016,сільська,Харківська,
2017,сільська,Харківська,
2018,сільська,Харківська,
2019,сільська,Харківська,15.0
2020,сільська,Харківська,25.0
2021,сільська,Харківська,43.0
2022,сільська,Харківська,32.0
2023,сільська,Харківська,40.0
2015,сільська,Херсонська,
2016,сільська,Херсонська,
2017,сільська,Херсонська,
2018,сільська,Херсонська,
2019,сільська,Херсонська,21.0
2020,сільська,Херсонська,44.0
2021,сільська,Херсонська,61.0
2022,сільська,Херсонська,
2023,сільська,Херсонська,
2015,сільська,Хмельницька,
2016,сільська,Хмельницька,
2017,сільська,Хмельницька,
2018,сільська,Хмельницька,
2019,сільська,Хмельницька,14.0
2020,сільська,Хмельницька,24.0
2021,сільська,Хмельницька,31.0
2022,сільська,Хмельницька,29.0
2023,сільська,Хмельницька,36.0
2015,сільська,Черкаська,
2016,сільська,Черкаська,
2017,сільська,Черкаська,
2018,сільська,Черкаська,
2019,сільська,Черкаська,12.0
2020,сільська,Черкаська,28.0
2021,сільська,Черкаська,35.0
2022,сільська,Черкаська,37.0
2023,сільська,Черкаська,36.0
2015,сільська,Чернівецька,
2016,сільська,Чернівецька,
2017,сільська,Чернівецька,
2018,сільська,Чернівецька,
2019,сільська,Чернівецька,14.0
2020,сільська,Чернівецька,19.0
2021,сільська,Чернівецька,17.0
2022,сільська,Чернівецька,18.0
2023,сільська,Чернівецька,24.0
2015,сільська,Чернігівська,
2016,сільська,Чернігівська,
2017,сільська,Чернігівська,
2018,сільська,Чернігівська,
2019,сільська,Чернігівська,8.0
2020,сільська,Чернігівська,12.0
2021,сільська,Чернігівська,30.0
2022,сільська,Чернігівська,27.0
2023,сільська,Чернігівська,34.0
2015,сільська,місто Київ,
2016,сільська,місто Київ,
2017,сільська,місто Київ,
2018,сільська,місто Київ,
2019,сільська,місто Київ,
2020,сільська,місто Київ,
2021,сільська,місто Київ,
2022,сільська,місто Київ,
2023,сільська,місто Київ,
