Year,Види боєприпасів,Область,Value
2023,патрони,Хмельницька,5710.0
2015,гранати,Хмельницька,16.0
2016,гранати,Хмельницька,8.0
2017,гранати,Хмельницька,24.0
2018,гранати,Хмельницька,26.0
2019,гранати,Хмельницька,199.0
2020,гранати,Хмельницька,8.0
2021,гранати,Хмельницька,15.0
2022,гранати,Хмельницька,8.0
2023,гранати,Хмельницька,35.0
2015,міни,Хмельницька,
2016,міни,Хмельницька,
2017,міни,Хмельницька,
2018,міни,Хмельницька,
2019,міни,Хмельницька,
2020,міни,Хмельницька,
2021,міни,Хмельницька,
2022,міни,Хмельницька,
2023,міни,Хмельницька,1.0
2015,саморобні вибухові пристрої,Хмельницька,
2016,саморобні вибухові пристрої,Хмельницька,
2017,саморобні вибухові пристрої,Хмельницька,2.0
2018,саморобні вибухові пристрої,Хмельницька,3.0
2019,саморобні вибухові пристрої,Хмельницька,
2020,саморобні вибухові пристрої,Хмельницька,
2021,саморобні вибухові пристрої,Хмельницька,
2022,саморобні вибухові пристрої,Хмельницька,
2023,саморобні вибухові пристрої,Хмельницька,
2015,,Черкаська,3016.0
2016,,Черкаська,4663.0
2017,,Черкаська,3576.0
2018,,Черкаська,2601.0
2019,,Черкаська,2791.0
2020,,Черкаська,2852.0
2021,,Черкаська,3585.0
2022,,Черкаська,2445.0
2023,,Черкаська,10166.0
2015,патрони,Черкаська,2972.0
2016,патрони,Черкаська,4619.0
2017,патрони,Черкаська,3514.0
2018,патрони,Черкаська,2549.0
2019,патрони,Черкаська,2751.0
2020,патрони,Черкаська,2832.0
2021,патрони,Черкаська,3572.0
2022,патрони,Черкаська,2403.0
2023,патрони,Черкаська,10036.0
2015,гранати,Черкаська,37.0
2016,гранати,Черкаська,44.0
2017,гранати,Черкаська,54.0
2018,гранати,Черкаська,51.0
2019,гранати,Черкаська,35.0
2020,гранати,Черкаська,19.0
2021,гранати,Черкаська,12.0
2022,гранати,Черкаська,42.0
2023,гранати,Черкаська,130.0
2015,міни,Черкаська,6.0
2016,міни,Черкаська,
2017,міни,Черкаська,8.0
2018,міни,Черкаська,
2019,міни,Черкаська,5.0
2020,міни,Черкаська,
2021,міни,Черкаська,
2022,міни,Черкаська,
2023,міни,Черкаська,
2015,саморобні вибухові пристрої,Черкаська,1.0
2016,саморобні вибухові пристрої,Черкаська,
2017,саморобні вибухові пристрої,Черкаська,
2018,саморобні вибухові пристрої,Черкаська,1.0
2019,саморобні вибухові пристрої,Черкаська,
2020,саморобні вибухові пристрої,Черкаська,1.0
2021,саморобні вибухові пристрої,Черкаська,1.0
2022,саморобні вибухові пристрої,Черкаська,
2023,саморобні вибухові пристрої,Черкаська,
2015,,Чернівецька,921.0
2016,,Чернівецька,196.0
2017,,Чернівецька,1668.0
2018,,Чернівецька,3538.0
2019,,Чернівецька,1956.0
2020,,Чернівецька,5455.0
2021,,Чернівецька,1328.0
2022,,Чернівецька,2675.0
2023,,Чернівецька,7459.0
2015,патрони,Чернівецька,911.0
2016,патрони,Чернівецька,192.0
2017,патрони,Чернівецька,1659.0
2018,патрони,Чернівецька,3528.0
2019,патрони,Чернівецька,1903.0
2020,патрони,Чернівецька,5448.0
2021,патрони,Чернівецька,1323.0
2022,патрони,Чернівецька,2663.0
2023,патрони,Чернівецька,7437.0
2015,гранати,Чернівецька,10.0
2016,гранати,Чернівецька,4.0
2017,гранати,Чернівецька,9.0
2018,гранати,Чернівецька,10.0
2019,гранати,Чернівецька,53.0
2020,гранати,Чернівецька,7.0
2021,гранати,Чернівецька,5.0
2022,гранати,Чернівецька,12.0
2023,гранати,Чернівецька,22.0
2015,міни,Чернівецька,
2016,міни,Чернівецька,
2017,міни,Чернівецька,
2018,міни,Чернівецька,
2019,міни,Чернівецька,
2020,міни,Чернівецька,
2021,міни,Чернівецька,
2022,міни,Чернівецька,
2023,міни,Чернівецька,
2015,саморобні вибухові пристрої,Чернівецька,
2016,саморобні вибухові пристрої,Чернівецька,
2017,саморобні вибухові пристрої,Чернівецька,
2018,саморобні вибухові пристрої,Чернівецька,
2019,саморобні вибухові пристрої,Чернівецька,
2020,саморобні вибухові пристрої,Чернівецька,
2021,саморобні вибухові пристрої,Чернівецька,
2022,саморобні вибухові пристрої,Чернівецька,
2023,саморобні вибухові пристрої,Чернівецька,
2015,,Чернігівська,6855.0
2016,,Чернігівська,3185.0
2017,,Чернігівська,4742.0
2018,,Чернігівська,8477.0
2019,,Чернігівська,3672.0
2020,,Чернігівська,4431.0
2021,,Чернігівська,5061.0
2022,,Чернігівська,10837.0
2023,,Чернігівська,17802.0
2015,патрони,Чернігівська,6811.0
2016,патрони,Чернігівська,3158.0
2017,патрони,Чернігівська,4728.0
2018,патрони,Чернігівська,8429.0
2019,патрони,Чернігівська,3654.0
2020,патрони,Чернігівська,4413.0
2021,патрони,Чернігівська,5051.0
2022,патрони,Чернігівська,10778.0
2023,патрони,Чернігівська,17668.0
2015,гранати,Чернігівська,44.0
2016,гранати,Чернігівська,26.0
2017,гранати,Чернігівська,13.0
2018,гранати,Чернігівська,47.0
2019,гранати,Чернігівська,18.0
2020,гранати,Чернігівська,18.0
2021,гранати,Чернігівська,10.0
2022,гранати,Чернігівська,59.0
2023,гранати,Чернігівська,129.0
2015,міни,Чернігівська,
2016,міни,Чернігівська,
2017,міни,Чернігівська,
2018,міни,Чернігівська,
2019,міни,Чернігівська,
2020,міни,Чернігівська,
2021,міни,Чернігівська,
2022,міни,Чернігівська,
2023,міни,Чернігівська,4.0
2015,саморобні вибухові пристрої,Чернігівська,
2016,саморобні вибухові пристрої,Чернігівська,1.0
2017,саморобні вибухові пристрої,Чернігівська,1.0
2018,саморобні вибухові пристрої,Чернігівська,1.0
2019,саморобні вибухові пристрої,Чернігівська,
2020,саморобні вибухові пристрої,Чернігівська,
2021,саморобні вибухові пристрої,Чернігівська,
2022,саморобні вибухові пристрої,Чернігівська,
2023,саморобні вибухові пристрої,Чернігівська,1.0
2015,,місто Київ,9851.0
2016,,місто Київ,6250.0
2017,,місто Київ,7531.0
2018,,місто Київ,26260.0
2019,,місто Київ,7857.0
2020,,місто Київ,4715.0
2021,,місто Київ,5985.0
2022,,місто Київ,8620.0
2023,,місто Київ,39858.0
2015,патрони,місто Київ,9808.0
2016,патрони,місто Київ,6164.0
2017,патрони,місто Київ,7394.0
2018,патрони,місто Київ,26130.0
2019,патрони,місто Київ,7799.0
2020,патрони,місто Київ,4673.0
2021,патрони,місто Київ,5923.0
2022,патрони,місто Київ,8559.0
2023,патрони,місто Київ,39638.0
2015,гранати,місто Київ,42.0
2016,гранати,місто Київ,86.0
2017,гранати,місто Київ,136.0
2018,гранати,місто Київ,109.0
2019,гранати,місто Київ,53.0
2020,гранати,місто Київ,29.0
2021,гранати,місто Київ,35.0
2022,гранати,місто Київ,60.0
2023,гранати,місто Київ,131.0
2015,міни,місто Київ,
2016,міни,місто Київ,
2017,міни,місто Київ,
2018,міни,місто Київ,9.0
2019,міни,місто Київ,
2020,міни,місто Київ,
2021,міни,місто Київ,
2022,міни,місто Київ,
2023,міни,місто Київ,83.0
2015,саморобні вибухові пристрої,місто Київ,1.0
2016,саморобні вибухові пристрої,місто Київ,
2017,саморобні вибухові пристрої,місто Київ,1.0
2018,саморобні вибухові пристрої,місто Київ,12.0
2019,саморобні вибухові пристрої,місто Київ,5.0
2020,саморобні вибухові пристрої,місто Київ,13.0
2021,саморобні вибухові пристрої,місто Київ,27.0
2022,саморобні вибухові пристрої,місто Київ,1.0
2023,саморобні вибухові пристрої,місто Київ,6.0
