Year,Група,Value
2022,Охорона здоров`я та надання соціальної допомоги,
2023,Охорона здоров`я та надання соціальної допомоги,
2015,"Мистецтво, спорт, розваги та відпочинок",49.5
2016,"Мистецтво, спорт, розваги та відпочинок",
2017,"Мистецтво, спорт, розваги та відпочинок",
2018,"Мистецтво, спорт, розваги та відпочинок",
2019,"Мистецтво, спорт, розваги та відпочинок",
2020,"Мистецтво, спорт, розваги та відпочинок",
2021,"Мистецтво, спорт, розваги та відпочинок",
2022,"Мистецтво, спорт, розваги та відпочинок",100.0
2023,"Мистецтво, спорт, розваги та відпочинок",
2015,Надання інших видів послуг,100.0
2016,Надання інших видів послуг,100.0
2017,Надання інших видів послуг,100.0
2018,Надання інших видів послуг,100.0
2019,Надання інших видів послуг,100.0
2020,Надання інших видів послуг,100.0
2021,Надання інших видів послуг,100.0
2022,Надання інших видів послуг,100.0
2023,Надання інших видів послуг,100.0
