Year,Region,Value
2015,,209.9
2016,,209.5
2017,,200.0
2018,,197.7
2019,,200.5
2020,,201.9
2021,,201.5
2022,,
2023,,
2015,Vinnytsya,214.0
2016,Vinnytsya,205.0
2017,Vinnytsya,200.9
2018,Vinnytsya,200.9
2019,Vinnytsya,198.9
2020,Vinnytsya,200.9
2021,Vinnytsya,196.8
2022,Vinnytsya,
2023,Vinnytsya,
2015,Volyn,221.3
2016,Volyn,210.0
2017,Volyn,210.1
2018,Volyn,202.4
2019,Volyn,206.9
2020,Volyn,209.2
2021,Volyn,227.5
2022,Volyn,
2023,Volyn,
2015,Dnipropetrovsk,194.7
2016,Dnipropetrovsk,204.6
2017,Dnipropetrovsk,200.3
2018,Dnipropetrovsk,199.2
2019,Dnipropetrovsk,197.5
2020,Dnipropetrovsk,196.4
2021,Dnipropetrovsk,200.7
2022,Dnipropetrovsk,
2023,Dnipropetrovsk,
2015,Donetsk,171.2
2016,Donetsk,169.3
2017,Donetsk,161.7
2018,Donetsk,165.5
2019,Donetsk,170.4
2020,Donetsk,171.2
2021,Donetsk,170.7
2022,Donetsk,
2023,Donetsk,
2015,Zhytomyr,230.8
2016,Zhytomyr,218.8
2017,Zhytomyr,207.2
2018,Zhytomyr,215.5
2019,Zhytomyr,209.0
2020,Zhytomyr,202.8
2021,Zhytomyr,206.0
2022,Zhytomyr,
2023,Zhytomyr,
2015,Zakarpattya,223.0
2016,Zakarpattya,229.1
2017,Zakarpattya,221.1
2018,Zakarpattya,210.4
2019,Zakarpattya,230.8
2020,Zakarpattya,232.8
2021,Zakarpattya,238.2
2022,Zakarpattya,
2023,Zakarpattya,
2015,Zaporizhzhya,186.4
2016,Zaporizhzhya,181.9
2017,Zaporizhzhya,164.6
2018,Zaporizhzhya,174.5
2019,Zaporizhzhya,171.4
2020,Zaporizhzhya,180.4
2021,Zaporizhzhya,175.9
2022,Zaporizhzhya,
2023,Zaporizhzhya,
2015,Ivano-Frankivsk,259.3
2016,Ivano-Frankivsk,281.4
2017,Ivano-Frankivsk,273.0
2018,Ivano-Frankivsk,260.3
2019,Ivano-Frankivsk,276.7
2020,Ivano-Frankivsk,300.6
2021,Ivano-Frankivsk,279.0
2022,Ivano-Frankivsk,
2023,Ivano-Frankivsk,
2015,Kyiv,222.8
2016,Kyiv,221.7
2017,Kyiv,204.6
2018,Kyiv,203.6
2019,Kyiv,211.2
2020,Kyiv,209.4
2021,Kyiv,212.1
2022,Kyiv,
2023,Kyiv,
2015,Kirovohrad,207.8
2016,Kirovohrad,202.8
2017,Kirovohrad,199.8
2018,Kirovohrad,198.7
