Year,Region,Value
2015,,64.0
2016,,63.0
2017,,62.3
2018,,62.1
2019,,57.3
2020,,60.8
2021,,64.5
2022,,
2023,,
2015,Vinnytsya,53.4
2016,Vinnytsya,44.8
2017,Vinnytsya,47.1
2018,Vinnytsya,50.5
2019,Vinnytsya,51.8
2020,Vinnytsya,57.5
2021,Vinnytsya,52.0
2022,Vinnytsya,
2023,Vinnytsya,
2015,Volyn,60.3
2016,Volyn,66.0
2017,Volyn,58.1
2018,Volyn,52.5
2019,Volyn,43.1
2020,Volyn,50.7
2021,Volyn,56.5
2022,Volyn,
2023,Volyn,
2015,Dnipropetrovsk,67.5
2016,Dnipropetrovsk,66.9
2017,Dnipropetrovsk,64.3
2018,Dnipropetrovsk,69.5
2019,Dnipropetrovsk,63.2
2020,Dnipropetrovsk,70.0
2021,Dnipropetrovsk,72.8
2022,Dnipropetrovsk,
2023,Dnipropetrovsk,
2015,Donetsk,
2016,Donetsk,
2017,Donetsk,
2018,Donetsk,
2019,Donetsk,
2020,Donetsk,
2021,Donetsk,
2022,Donetsk,
2023,Donetsk,
2015,Zhytomyr,64.4
2016,Zhytomyr,64.5
2017,Zhytomyr,64.0
2018,Zhytomyr,55.9
2019,Zhytomyr,58.8
2020,Zhytomyr,61.0
2021,Zhytomyr,68.5
2022,Zhytomyr,
2023,Zhytomyr,
2015,Zakarpattya,44.2
2016,Zakarpattya,49.6
2017,Zakarpattya,44.7
2018,Zakarpattya,54.3
2019,Zakarpattya,44.8
2020,Zakarpattya,50.1
2021,Zakarpattya,44.4
2022,Zakarpattya,
2023,Zakarpattya,
2015,Zaporizhzhya,76.3
2016,Zaporizhzhya,78.5
2017,Zaporizhzhya,75.2
2018,Zaporizhzhya,76.4
2019,Zaporizhzhya,68.8
2020,Zaporizhzhya,69.9
2021,Zaporizhzhya,85.8
2022,Zaporizhzhya,
2023,Zaporizhzhya,
2015,Ivano-Frankivsk,47.0
2016,Ivano-Frankivsk,43.8
2017,Ivano-Frankivsk,46.9
