Year,Region,Value
2015,,160.8
2016,,163.7
2017,,159.7
2018,,163.9
2019,,164.7
2020,,164.0
2021,,165.9
2022,,
2023,,
2015,Vinnytsya,170.3
2016,Vinnytsya,176.0
2017,Vinnytsya,170.9
2018,Vinnytsya,167.2
2019,Vinnytsya,167.2
2020,Vinnytsya,174.5
2021,Vinnytsya,176.2
2022,Vinnytsya,
2023,Vinnytsya,
2015,Volyn,153.6
2016,Volyn,155.5
2017,Volyn,155.3
2018,Volyn,153.8
2019,Volyn,154.9
2020,Volyn,164.5
2021,Volyn,164.5
2022,Volyn,
2023,Volyn,
2015,Dnipropetrovsk,184.2
2016,Dnipropetrovsk,185.7
2017,Dnipropetrovsk,173.5
2018,Dnipropetrovsk,179.2
2019,Dnipropetrovsk,177.9
2020,Dnipropetrovsk,168.1
2021,Dnipropetrovsk,172.2
2022,Dnipropetrovsk,
2023,Dnipropetrovsk,
2015,Donetsk,140.9
2016,Donetsk,147.4
2017,Donetsk,144.2
2018,Donetsk,142.5
2019,Donetsk,143.5
2020,Donetsk,140.4
2021,Donetsk,143.9
2022,Donetsk,
2023,Donetsk,
2015,Zhytomyr,155.3
2016,Zhytomyr,165.8
2017,Zhytomyr,160.8
2018,Zhytomyr,161.0
2019,Zhytomyr,164.3
2020,Zhytomyr,169.2
2021,Zhytomyr,170.0
2022,Zhytomyr,
2023,Zhytomyr,
2015,Zakarpattya,154.8
2016,Zakarpattya,162.0
2017,Zakarpattya,154.9
2018,Zakarpattya,162.1
2019,Zakarpattya,156.7
2020,Zakarpattya,170.1
2021,Zakarpattya,173.3
2022,Zakarpattya,
2023,Zakarpattya,
2015,Zaporizhzhya,173.7
2016,Zaporizhzhya,167.7
2017,Zaporizhzhya,158.1
2018,Zaporizhzhya,167.4
2019,Zaporizhzhya,164.2
2020,Zaporizhzhya,172.6
2021,Zaporizhzhya,175.3
2022,Zaporizhzhya,
2023,Zaporizhzhya,
2015,Ivano-Frankivsk,135.1
2016,Ivano-Frankivsk,138.4
2017,Ivano-Frankivsk,143.9
2018,Ivano-Frankivsk,145.3
2019,Ivano-Frankivsk,144.8
2020,Ivano-Frankivsk,154.7
2021,Ivano-Frankivsk,156.2
2022,Ivano-Frankivsk,
2023,Ivano-Frankivsk,
2015,Kyiv,163.1
2016,Kyiv,170.9
2017,Kyiv,174.1
2018,Kyiv,181.2
2019,Kyiv,181.9
2020,Kyiv,173.3
2021,Kyiv,172.9
2022,Kyiv,
2023,Kyiv,
2015,Kirovohrad,174.5
2016,Kirovohrad,176.5
2017,Kirovohrad,172.5
2018,Kirovohrad,182.6
2019,Kirovohrad,184.6
2020,Kirovohrad,186.6
