Year,Type of ammunition,Region,Value
2022,mines,Cherkasy,
2023,mines,Cherkasy,
2015,improvised explosive devices,Cherkasy,1.0
2016,improvised explosive devices,Cherkasy,
2017,improvised explosive devices,Cherkasy,
2018,improvised explosive devices,Cherkasy,1.0
2019,improvised explosive devices,Cherkasy,
2020,improvised explosive devices,Cherkasy,1.0
2021,improvised explosive devices,Cherkasy,1.0
2022,improvised explosive devices,Cherkasy,
2023,improvised explosive devices,Cherkasy,
2015,,Chernivtsi,921.0
2016,,Chernivtsi,196.0
2017,,Chernivtsi,1668.0
2018,,Chernivtsi,3538.0
2019,,Chernivtsi,1956.0
2020,,Chernivtsi,5455.0
2021,,Chernivtsi,1328.0
2022,,Chernivtsi,2675.0
2023,,Chernivtsi,7459.0
2015,cartridges,Chernivtsi,911.0
2016,cartridges,Chernivtsi,192.0
2017,cartridges,Chernivtsi,1659.0
2018,cartridges,Chernivtsi,3528.0
2019,cartridges,Chernivtsi,1903.0
2020,cartridges,Chernivtsi,5448.0
2021,cartridges,Chernivtsi,1323.0
2022,cartridges,Chernivtsi,2663.0
2023,cartridges,Chernivtsi,7437.0
2015,grenades,Chernivtsi,10.0
2016,grenades,Chernivtsi,4.0
2017,grenades,Chernivtsi,9.0
2018,grenades,Chernivtsi,10.0
2019,grenades,Chernivtsi,53.0
2020,grenades,Chernivtsi,7.0
2021,grenades,Chernivtsi,5.0
2022,grenades,Chernivtsi,12.0
2023,grenades,Chernivtsi,22.0
2015,mines,Chernivtsi,
2016,mines,Chernivtsi,
2017,mines,Chernivtsi,
2018,mines,Chernivtsi,
2019,mines,Chernivtsi,
2020,mines,Chernivtsi,
2021,mines,Chernivtsi,
2022,mines,Chernivtsi,
2023,mines,Chernivtsi,
2015,improvised explosive devices,Chernivtsi,
2016,improvised explosive devices,Chernivtsi,
2017,improvised explosive devices,Chernivtsi,
2018,improvised explosive devices,Chernivtsi,
2019,improvised explosive devices,Chernivtsi,
2020,improvised explosive devices,Chernivtsi,
2021,improvised explosive devices,Chernivtsi,
2022,improvised explosive devices,Chernivtsi,
2023,improvised explosive devices,Chernivtsi,
2015,,Chernihiv,6855.0
2016,,Chernihiv,3185.0
2017,,Chernihiv,4742.0
2018,,Chernihiv,8477.0
2019,,Chernihiv,3672.0
2020,,Chernihiv,4431.0
2021,,Chernihiv,5061.0
2022,,Chernihiv,10837.0
2023,,Chernihiv,17802.0
2015,cartridges,Chernihiv,6811.0
2016,cartridges,Chernihiv,3158.0
2017,cartridges,Chernihiv,4728.0
2018,cartridges,Chernihiv,8429.0
2019,cartridges,Chernihiv,3654.0
2020,cartridges,Chernihiv,4413.0
2021,cartridges,Chernihiv,5051.0
2022,cartridges,Chernihiv,10778.0
2023,cartridges,Chernihiv,17668.0
2015,grenades,Chernihiv,44.0
2016,grenades,Chernihiv,26.0
2017,grenades,Chernihiv,13.0
2018,grenades,Chernihiv,47.0
2019,grenades,Chernihiv,18.0
2020,grenades,Chernihiv,18.0
2021,grenades,Chernihiv,10.0
2022,grenades,Chernihiv,59.0
2023,grenades,Chernihiv,129.0
2015,mines,Chernihiv,
2016,mines,Chernihiv,
2017,mines,Chernihiv,
2018,mines,Chernihiv,
2019,mines,Chernihiv,
2020,mines,Chernihiv,
2021,mines,Chernihiv,
2022,mines,Chernihiv,
2023,mines,Chernihiv,4.0
2015,improvised explosive devices,Chernihiv,
2016,improvised explosive devices,Chernihiv,1.0
2017,improvised explosive devices,Chernihiv,1.0
2018,improvised explosive devices,Chernihiv,1.0
2019,improvised explosive devices,Chernihiv,
2020,improvised explosive devices,Chernihiv,
2021,improvised explosive devices,Chernihiv,
2022,improvised explosive devices,Chernihiv,
2023,improvised explosive devices,Chernihiv,1.0
2015,,the city of Kyiv,9851.0
2016,,the city of Kyiv,6250.0
2017,,the city of Kyiv,7531.0
2018,,the city of Kyiv,26260.0
2019,,the city of Kyiv,7857.0
2020,,the city of Kyiv,4715.0
2021,,the city of Kyiv,5985.0
2022,,the city of Kyiv,8620.0
2023,,the city of Kyiv,39858.0
2015,cartridges,the city of Kyiv,9808.0
2016,cartridges,the city of Kyiv,6164.0
2017,cartridges,the city of Kyiv,7394.0
2018,cartridges,the city of Kyiv,26130.0
2019,cartridges,the city of Kyiv,7799.0
2020,cartridges,the city of Kyiv,4673.0
2021,cartridges,the city of Kyiv,5923.0
2022,cartridges,the city of Kyiv,8559.0
2023,cartridges,the city of Kyiv,39638.0
2015,grenades,the city of Kyiv,42.0
2016,grenades,the city of Kyiv,86.0
2017,grenades,the city of Kyiv,136.0
2018,grenades,the city of Kyiv,109.0
2019,grenades,the city of Kyiv,53.0
2020,grenades,the city of Kyiv,29.0
2021,grenades,the city of Kyiv,35.0
2022,grenades,the city of Kyiv,60.0
2023,grenades,the city of Kyiv,131.0
2015,mines,the city of Kyiv,
2016,mines,the city of Kyiv,
2017,mines,the city of Kyiv,
2018,mines,the city of Kyiv,9.0
2019,mines,the city of Kyiv,
2020,mines,the city of Kyiv,
2021,mines,the city of Kyiv,
2022,mines,the city of Kyiv,
2023,mines,the city of Kyiv,83.0
2015,improvised explosive devices,the city of Kyiv,1.0
2016,improvised explosive devices,the city of Kyiv,
2017,improvised explosive devices,the city of Kyiv,1.0
2018,improvised explosive devices,the city of Kyiv,12.0
2019,improvised explosive devices,the city of Kyiv,5.0
2020,improvised explosive devices,the city of Kyiv,13.0
2021,improvised explosive devices,the city of Kyiv,27.0
2022,improvised explosive devices,the city of Kyiv,1.0
2023,improvised explosive devices,the city of Kyiv,6.0
