Year,Region,Value
2015,,100.0
2016,,107.0
2017,,98.0
2018,,109.0
2019,,113.0
2020,,101.0
2021,,103.0
2022,,126.0
2023,,126.0
2015,Vinnytsya,100.0
2016,Vinnytsya,93.0
2017,Vinnytsya,100.0
2018,Vinnytsya,60.0
2019,Vinnytsya,140.0
2020,Vinnytsya,80.0
2021,Vinnytsya,87.0
2022,Vinnytsya,167.0
2023,Vinnytsya,80.0
2015,Volyn,100.0
2016,Volyn,131.0
2017,Volyn,62.0
2018,Volyn,77.0
2019,Volyn,162.0
2020,Volyn,108.0
2021,Volyn,54.0
2022,Volyn,62.0
2023,Volyn,77.0
2015,Dnipropetrovsk,100.0
2016,Dnipropetrovsk,100.0
2017,Dnipropetrovsk,83.0
2018,Dnipropetrovsk,100.0
2019,Dnipropetrovsk,89.0
2020,Dnipropetrovsk,57.0
2021,Dnipropetrovsk,66.0
2022,Dnipropetrovsk,130.0
2023,Dnipropetrovsk,126.0
2015,Donetsk,100.0
2016,Donetsk,81.0
2017,Donetsk,86.0
2018,Donetsk,103.0
2019,Donetsk,58.0
2020,Donetsk,67.0
2021,Donetsk,69.0
2022,Donetsk,75.0
2023,Donetsk,158.0
2015,Zhytomyr,100.0
2016,Zhytomyr,138.0
2017,Zhytomyr,100.0
2018,Zhytomyr,188.0
2019,Zhytomyr,175.0
2020,Zhytomyr,175.0
2021,Zhytomyr,213.0
2022,Zhytomyr,188.0
2023,Zhytomyr,163.0
2015,Zakarpattya,100.0
2016,Zakarpattya,150.0
2017,Zakarpattya,225.0
2018,Zakarpattya,100.0
2019,Zakarpattya,100.0
2020,Zakarpattya,250.0
2021,Zakarpattya,150.0
2022,Zakarpattya,175.0
2023,Zakarpattya,200.0
2015,Zaporizhzhya,100.0
2016,Zaporizhzhya,108.0
2017,Zaporizhzhya,117.0
2018,Zaporizhzhya,117.0
2019,Zaporizhzhya,100.0
2020,Zaporizhzhya,142.0
2021,Zaporizhzhya,158.0
2022,Zaporizhzhya,133.0
2023,Zaporizhzhya,192.0
2015,Ivano-Frankivsk,100.0
2016,Ivano-Frankivsk,110.0
2017,Ivano-Frankivsk,100.0
2018,Ivano-Frankivsk,130.0
2019,Ivano-Frankivsk,180.0
2020,Ivano-Frankivsk,150.0
2021,Ivano-Frankivsk,230.0
2022,Ivano-Frankivsk,60.0
2023,Ivano-Frankivsk,90.0
2015,Kyiv,100.0
2016,Kyiv,109.0
2017,Kyiv,87.0
2018,Kyiv,83.0
2019,Kyiv,57.0
2020,Kyiv,61.0
2021,Kyiv,96.0
2022,Kyiv,104.0
2023,Kyiv,74.0
2015,Kirovohrad,100.0
2016,Kirovohrad,188.0
2017,Kirovohrad,75.0
2018,Kirovohrad,63.0
2019,Kirovohrad,113.0
2020,Kirovohrad,113.0
2021,Kirovohrad,38.0
2022,Kirovohrad,163.0
2023,Kirovohrad,25.0
2015,Luhansk,100.0
2016,Luhansk,100.0
2017,Luhansk,11.0
2018,Luhansk,44.0
2019,Luhansk,56.0
