Year,Region,Value
2015,,100.0
2016,,104.0
2017,,101.0
2018,,97.0
2019,,91.0
2020,,85.0
2021,,80.0
2022,,69.0
2023,,73.0
2015,Vinnytsya,100.0
2016,Vinnytsya,109.0
2017,Vinnytsya,98.0
2018,Vinnytsya,122.0
2019,Vinnytsya,115.0
2020,Vinnytsya,90.0
2021,Vinnytsya,106.0
2022,Vinnytsya,82.0
2023,Vinnytsya,68.0
2015,Volyn,100.0
2016,Volyn,92.0
2017,Volyn,87.0
2018,Volyn,90.0
2019,Volyn,98.0
2020,Volyn,65.0
2021,Volyn,78.0
2022,Volyn,55.0
2023,Volyn,64.0
2015,Dnipropetrovsk,100.0
2016,Dnipropetrovsk,119.0
2017,Dnipropetrovsk,116.0
2018,Dnipropetrovsk,99.0
2019,Dnipropetrovsk,100.0
2020,Dnipropetrovsk,71.0
2021,Dnipropetrovsk,72.0
2022,Dnipropetrovsk,68.0
2023,Dnipropetrovsk,71.0
2015,Donetsk,100.0
2016,Donetsk,99.0
2017,Donetsk,90.0
2018,Donetsk,84.0
2019,Donetsk,70.0
2020,Donetsk,61.0
2021,Donetsk,67.0
2022,Donetsk,40.0
2023,Donetsk,43.0
2015,Zhytomyr,100.0
2016,Zhytomyr,126.0
2017,Zhytomyr,107.0
2018,Zhytomyr,111.0
2019,Zhytomyr,96.0
2020,Zhytomyr,76.0
2021,Zhytomyr,112.0
2022,Zhytomyr,100.0
2023,Zhytomyr,90.0
2015,Zakarpattya,100.0
2016,Zakarpattya,95.0
2017,Zakarpattya,124.0
2018,Zakarpattya,138.0
2019,Zakarpattya,92.0
2020,Zakarpattya,95.0
2021,Zakarpattya,122.0
2022,Zakarpattya,84.0
2023,Zakarpattya,84.0
2015,Zaporizhzhya,100.0
2016,Zaporizhzhya,104.0
2017,Zaporizhzhya,110.0
2018,Zaporizhzhya,104.0
2019,Zaporizhzhya,73.0
2020,Zaporizhzhya,69.0
2021,Zaporizhzhya,66.0
2022,Zaporizhzhya,55.0
2023,Zaporizhzhya,42.0
2015,Ivano-Frankivsk,100.0
2016,Ivano-Frankivsk,77.0
2017,Ivano-Frankivsk,107.0
2018,Ivano-Frankivsk,117.0
2019,Ivano-Frankivsk,102.0
2020,Ivano-Frankivsk,93.0
2021,Ivano-Frankivsk,140.0
2022,Ivano-Frankivsk,87.0
2023,Ivano-Frankivsk,72.0
2015,Kyiv,100.0
2016,Kyiv,54.0
2017,Kyiv,60.0
2018,Kyiv,50.0
2019,Kyiv,61.0
2020,Kyiv,101.0
2021,Kyiv,64.0
2022,Kyiv,82.0
2023,Kyiv,78.0
2015,Kirovohrad,100.0
2016,Kirovohrad,145.0
2017,Kirovohrad,220.0
2018,Kirovohrad,169.0
2019,Kirovohrad,192.0
2020,Kirovohrad,192.0
2021,Kirovohrad,153.0
2022,Kirovohrad,147.0
2023,Kirovohrad,116.0
2015,Luhansk,100.0
2016,Luhansk,122.0
2017,Luhansk,80.0
2018,Luhansk,116.0
2019,Luhansk,91.0
2020,Luhansk,103.0
2021,Luhansk,69.0
2022,Luhansk,14.0
2023,Luhansk,
2015,Lviv,100.0
2016,Lviv,95.0
2017,Lviv,99.0
2018,Lviv,81.0
2019,Lviv,79.0
2020,Lviv,64.0
2021,Lviv,63.0
2022,Lviv,72.0
2023,Lviv,70.0
2015,Mykolayiv,100.0
2016,Mykolayiv,130.0
2017,Mykolayiv,109.0
2018,Mykolayiv,132.0
2019,Mykolayiv,135.0
2020,Mykolayiv,86.0
2021,Mykolayiv,114.0
2022,Mykolayiv,168.0
2023,Mykolayiv,124.0
2015,Odesa,100.0
2016,Odesa,100.0
2017,Odesa,106.0
2018,Odesa,104.0
2019,Odesa,109.0
2020,Odesa,100.0
2021,Odesa,85.0
2022,Odesa,80.0
2023,Odesa,86.0
2015,Poltava,100.0
2016,Poltava,97.0
2017,Poltava,90.0
2018,Poltava,83.0
2019,Poltava,86.0
2020,Poltava,89.0
2021,Poltava,90.0
2022,Poltava,87.0
2023,Poltava,66.0
2015,Rivne,100.0
2016,Rivne,127.0
2017,Rivne,113.0
2018,Rivne,113.0
2019,Rivne,79.0
2020,Rivne,84.0
2021,Rivne,72.0
2022,Rivne,80.0
2023,Rivne,73.0
2015,Sumy,100.0
2016,Sumy,90.0
2017,Sumy,85.0
2018,Sumy,68.0
2019,Sumy,95.0
2020,Sumy,73.0
2021,Sumy,67.0
2022,Sumy,82.0
2023,Sumy,85.0
2015,Ternopil,100.0
2016,Ternopil,88.0
2017,Ternopil,119.0
2018,Ternopil,142.0
2019,Ternopil,129.0
2020,Ternopil,115.0
2021,Ternopil,85.0
2022,Ternopil,71.0
2023,Ternopil,83.0
2015,Kharkiv,100.0
2016,Kharkiv,129.0
2017,Kharkiv,99.0
2018,Kharkiv,107.0
2019,Kharkiv,99.0
2020,Kharkiv,199.0
2021,Kharkiv,67.0
2022,Kharkiv,46.0
2023,Kharkiv,132.0
2015,Kherson,100.0
2016,Kherson,96.0
2017,Kherson,107.0
2018,Kherson,110.0
2019,Kherson,95.0
2020,Kherson,110.0
2021,Kherson,86.0
2022,Kherson,34.0
2023,Kherson,126.0
2015,Khmelnytskiy,100.0
2016,Khmelnytskiy,124.0
2017,Khmelnytskiy,122.0
2018,Khmelnytskiy,121.0
2019,Khmelnytskiy,131.0
2020,Khmelnytskiy,117.0
2021,Khmelnytskiy,128.0
2022,Khmelnytskiy,90.0
2023,Khmelnytskiy,91.0
2015,Cherkasy,100.0
2016,Cherkasy,77.0
2017,Cherkasy,82.0
2018,Cherkasy,82.0
2019,Cherkasy,74.0
2020,Cherkasy,68.0
2021,Cherkasy,78.0
2022,Cherkasy,73.0
2023,Cherkasy,66.0
2015,Chernivtsi,100.0
2016,Chernivtsi,120.0
