Year,Type of residence,Value
2015,,
2016,,9.26
2017,,16.66
2018,,25.11
2019,,36.07
2020,,44.11
2021,,52.16
2022,,53.83
2023,,57.8
2015,urban,
2016,urban,
2017,urban,
2018,urban,
2019,urban,49.5
2020,urban,57.4
2021,urban,59.44
2022,urban,60.42
2023,urban,63.28
2015,rural,
2016,rural,
2017,rural,
2018,rural,
2019,rural,29.8
2020,rural,36.9
2021,rural,45.39
2022,rural,49.31
2023,rural,53.92
