Value,Disaggregation combinations using this value,Number of indicators
1_hectares,5,1
1_total,8,2
1_vic_100,2,2
1_vict_per_100,5,1
2_per_100,8,2
2_roads,3,1
2_vic_149,4,1
2_vic_tot,4,1
2_vict_all,20,1
3_railways,3,1
kWh,6,1
min_day,6,1
number,3,1
per,7,2
Percentage,3,1
