Value,Disaggregation combinations using this value,Number of indicators
el_1_power,1,1
el_2_CHP,1,1
el_3_HPP,1,1
el_4_PSP,1,1
el_5_NPP,1,1
el_6_plants,1,1
el_7_alternative,1,1
