Value,Disaggregation combinations using this value,Number of indicators
com_10_active,39,1
com_11_migrate,40,1
com_12_cooperation,40,1
com_13_pol_sec,40,1
com_14_dialog_gr,40,1
com_15_belief_changes,40,1
com_16_soc_tolerance,40,1
com_17_active_position,40,1
com_1_cohension,40,1
com_2_tolerance,40,1
com_3_adapt,40,1
com_4_migration,40,1
com_5_dialogue,40,1
com_6_civic,40,1
com_7_relations,40,1
com_8_groups,40,1
com_9_psy,40,1
