Indicator
#1-3-1
#1-3-2
#10-1-1
#10-1-2
#16-8-2
#3-1-1
#3-2-1
#3-5-1
#3-5-2
#3-8-1
#3-8-2
#4-2-1
#4-5-2
#4-7-3
#5-3-1
#6-1-1
#6-1-2
#6-1-3
#8-3-1
#9-6-1
