Value,Disaggregation combinations using this value,Number of indicators
dg_01,1,1
dg_02,1,1
dg_03,1,1
dg_04,1,1
dg_05,1,1
dg_06,1,1
dg_07,1,1
dg_08,1,1
dg_09,1,1
dg_10,1,1
