Indicator
#1-1-1
#1-1-2
#1-2-1
#1-3-1
#1-3-2
#10-1-1
#10-1-2
#10-2-1
#10-3-1
#10-3-2
#10-3-3
#10-4-1
#10-5-1
#11-1-1
#11-1-2
#11-2-1
#11-3-1
#11-3-2
#11-3-3
#11-4-1
#11-5-1
#11-5-2
#11-6-1
#12-1-1
#12-2-1
#12-2-2
#12-3-1
#12-4-1
#12-4-2
#13-1-1
#14-1-1
#14-2-1
#14-2-2
#14-3-1
#15-1-1
#15-1-2
#15-1-3
#15-2-1
#15-2-2
#15-3-1
#15-3-2
#15-3-3
#15-3-4
#15-3-5
#15-3-6
#15-4-1
#15-4-2
#16-1-1
#16-1-2
#16-1-3
#16-2-1
#16-2-2
#16-2-3
#16-2-4
#16-2-5
#16-2-6
#16-2-7
#16-3-1
#16-3-2
#16-4-1
#16-5-1
#16-5-2
#16-5-3
#16-6-1
#16-7-1
#16-8-1
#16-8-2
#16-8-3
#16-8-4
#16-8-5
#16-9-1
#17-1-1
#17-1-2
#17-2-1
#17-3-1
#2-1-1
#2-1-2
#2-1-3
#2-1-4
#2-1-5
#2-2-1
#2-2-2
#2-3-1
#2-3-2
#2-3-3
#2-4-1
#3-1-1
#3-2-1
#3-3-1
#3-3-2
#3-4-1
#3-4-2
#3-4-3
#3-4-4
#3-5-1
#3-5-2
#3-6-1
#3-6-2
#3-7-1
#3-8-1
#3-8-2
#3-9-1
#4-1-1
#4-1-2
#4-2-1
#4-3-1
#4-4-1
#4-4-2
#4-4-3
#4-4-4
#4-5-1
#4-5-2
#4-6-1
#4-7-1
#4-7-2
#4-7-3
#5-1-1
#5-2-1
#5-2-10
#5-2-11
#5-2-12
#5-2-2
#5-2-3
#5-2-4
#5-2-5
#5-2-6
#5-2-7
#5-2-8
#5-2-9
#5-3-1
#5-4-1
#5-4-2
#5-4-3
#5-5-1
#5-6-1
#5-6-2
#6-1-1
#6-1-2
#6-1-3
#6-1-4
#6-1-5
#6-2-1
#6-2-2
#6-3-1
#6-3-2
#6-4-1
#6-4-2
#6-5-1
#7-1-1
#7-1-2
#7-1-3
#7-2-1
#7-2-2
#7-3-1
#7-4-1
#8-1-1
#8-1-2
#8-1-3
#8-1-4
#8-2-1
#8-2-2
#8-3-1
#8-4-1
#8-5-1
#8-5-2
#8-5-3
#8-6-1
#8-6-2
#8-6-3
#9-1-1
#9-1-2
#9-1-3
#9-1-4
#9-2-1
#9-3-1
#9-3-2
#9-4-1
#9-4-2
#9-4-3
#9-5-1
#9-5-2
#9-6-1
#9-7-1
