Value,Disaggregation combinations using this value,Number of indicators
pol_11_dust,1,1
pol_12_sulfur,1,1
pol_13_carbon,1,1
pol_14_nitrogen,1,1
pol_15_nitrix,1,1
pol_16_phenol,1,1
pol_17_soot,1,1
pol_18_hydrogen,1,1
pol_19_ammonia,1,1
pol_20_form,1,1
