Value,Disaggregation combinations using this value,Number of indicators
1_art_all,5,1
2_art_115_118,5,1
3_art_152,5,1
4_art_121,5,1
5_art_149,5,1
art_1_115,2,1
art_1_262,2,1
art_2_116,2,1
art_2_263,2,1
art_3_117,2,1
art_3_263_1,2,1
art_4_118,2,1
art_5_121,2,1
