Indicator,Disaggregation combinations using this value
#1-3-1,1
#1-3-2,1
#10-1-1,1
#10-1-2,1
#16-8-2,1
#3-1-1,1
#3-2-1,1
#3-5-1,1
#3-5-2,1
#3-8-1,1
#3-8-2,1
#4-2-1,1
#4-5-2,1
#4-7-3,1
#5-3-1,3
#6-1-1,1
#6-1-2,1
#6-1-3,1
#8-3-1,1
#9-6-1,26
