Year,Region,Value
2015,,8.6
2016,,9.6
2017,,10.8
2018,,11.8
2019,,12.5
2020,,12.4
2021,,13.2
2022,,
2023,,
2015,Vinnytsya,10.8
2016,Vinnytsya,11.8
2017,Vinnytsya,13.3
2018,Vinnytsya,14.1
2019,Vinnytsya,15.4
2020,Vinnytsya,14.7
2021,Vinnytsya,15.3
2022,Vinnytsya,
2023,Vinnytsya,
2015,Volyn,7.7
2016,Volyn,8.7
2017,Volyn,10.2
2018,Volyn,12.0
2019,Volyn,12.5
2020,Volyn,13.5
2021,Volyn,13.2
2022,Volyn,
2023,Volyn,
2015,Dnipropetrovsk,8.7
2016,Dnipropetrovsk,10.3
2017,Dnipropetrovsk,11.3
2018,Dnipropetrovsk,12.1
2019,Dnipropetrovsk,13.0
2020,Dnipropetrovsk,13.0
2021,Dnipropetrovsk,13.9
2022,Dnipropetrovsk,
2023,Dnipropetrovsk,
2015,Donetsk,9.8
2016,Donetsk,10.5
2017,Donetsk,11.2
2018,Donetsk,12.1
2019,Donetsk,12.9
2020,Donetsk,12.5
2021,Donetsk,12.4
2022,Donetsk,
2023,Donetsk,
2015,Zhytomyr,10.0
2016,Zhytomyr,11.0
2017,Zhytomyr,14.3
2018,Zhytomyr,15.7
2019,Zhytomyr,15.0
2020,Zhytomyr,14.4
2021,Zhytomyr,13.8
2022,Zhytomyr,
2023,Zhytomyr,
2015,Zakarpattya,5.7
2016,Zakarpattya,6.7
2017,Zakarpattya,7.1
2018,Zakarpattya,7.5
2019,Zakarpattya,8.0
2020,Zakarpattya,8.0
2021,Zakarpattya,9.7
2022,Zakarpattya,
2023,Zakarpattya,
2015,Zaporizhzhya,9.3
2016,Zaporizhzhya,10.3
2017,Zaporizhzhya,12.2
2018,Zaporizhzhya,13.4
2019,Zaporizhzhya,13.6
2020,Zaporizhzhya,13.2
2021,Zaporizhzhya,13.4
2022,Zaporizhzhya,
2023,Zaporizhzhya,
2015,Ivano-Frankivsk,5.3
2016,Ivano-Frankivsk,6.3
2017,Ivano-Frankivsk,7.3
2018,Ivano-Frankivsk,7.9
2019,Ivano-Frankivsk,9.0
2020,Ivano-Frankivsk,9.4
2021,Ivano-Frankivsk,9.9
2022,Ivano-Frankivsk,
2023,Ivano-Frankivsk,
2015,Kyiv,12.0
2016,Kyiv,13.1
2017,Kyiv,15.1
2018,Kyiv,16.3
2019,Kyiv,16.8
2020,Kyiv,16.1
2021,Kyiv,19.1
2022,Kyiv,
2023,Kyiv,
