Year,Region,Value
2015,,
2016,,121.0
2017,,167.0
2018,,112.0
2019,,10.0
2020,,41.0
2021,,32.0
2022,,24.0
2023,,38.0
2015,14_reg_Donetsk,
2016,14_reg_Donetsk,
2017,14_reg_Donetsk,
2018,14_reg_Donetsk,
2019,14_reg_Donetsk,
2020,14_reg_Donetsk,18.0
2021,14_reg_Donetsk,18.0
2022,14_reg_Donetsk,24.0
2023,14_reg_Donetsk,36.0
2015,21_reg_Luhansk,
2016,21_reg_Luhansk,
2017,21_reg_Luhansk,
2018,21_reg_Luhansk,
2019,21_reg_Luhansk,
2020,21_reg_Luhansk,23.0
2021,21_reg_Luhansk,14.0
2022,21_reg_Luhansk,
2023,21_reg_Luhansk,2.0
