Year,Type of residence,Value
2015,,0.15514
2016,,0.15208
2017,,0.14696
2018,,0.1501
2019,,0.14536
2020,,0.15884
2021,,0.18768
2022,,
2023,,
2015,urban,0.14609
2016,urban,0.14434
2017,urban,0.13851
2018,urban,0.14246
2019,urban,0.13759
2020,urban,0.15197
2021,urban,0.18502
2022,urban,
2023,urban,
2015,rural,0.17505
2016,rural,0.16898
2017,rural,0.16553
2018,rural,0.1667
2019,rural,0.16219
2020,rural,0.17388
2021,rural,0.19376
2022,rural,
2023,rural,
