Year,Види економічної діяльності,включаючи,Value
2017,Переробна промисловість,виробництво основних фармацевтичних продуктів і фармацевтичних препаратів,19.1
2018,Переробна промисловість,виробництво основних фармацевтичних продуктів і фармацевтичних препаратів,
2019,Переробна промисловість,виробництво основних фармацевтичних продуктів і фармацевтичних препаратів,20.0
2020,Переробна промисловість,виробництво основних фармацевтичних продуктів і фармацевтичних препаратів,
2021,Переробна промисловість,виробництво основних фармацевтичних продуктів і фармацевтичних препаратів,
2022,Переробна промисловість,виробництво основних фармацевтичних продуктів і фармацевтичних препаратів,
2023,Переробна промисловість,виробництво основних фармацевтичних продуктів і фармацевтичних препаратів,
2015,Переробна промисловість,"виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції",26.9
2016,Переробна промисловість,"виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції",
2017,Переробна промисловість,"виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції",29.7
2018,Переробна промисловість,"виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції",
2019,Переробна промисловість,"виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції",28.3
2020,Переробна промисловість,"виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції",
2021,Переробна промисловість,"виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції",
2022,Переробна промисловість,"виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції",
2023,Переробна промисловість,"виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції",
2015,Переробна промисловість,"металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання",57.7
2016,Переробна промисловість,"металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання",
2017,Переробна промисловість,"металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання",56.3
2018,Переробна промисловість,"металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання",
2019,Переробна промисловість,"металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання",55.4
2020,Переробна промисловість,"металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання",
2021,Переробна промисловість,"металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання",
2022,Переробна промисловість,"металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання",
2023,Переробна промисловість,"металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання",
2015,Переробна промисловість,"виробництво комп’ютерів, електронної та оптичної продукції",14.7
2016,Переробна промисловість,"виробництво комп’ютерів, електронної та оптичної продукції",
2017,Переробна промисловість,"виробництво комп’ютерів, електронної та оптичної продукції",14.4
2018,Переробна промисловість,"виробництво комп’ютерів, електронної та оптичної продукції",
2019,Переробна промисловість,"виробництво комп’ютерів, електронної та оптичної продукції",13.2
2020,Переробна промисловість,"виробництво комп’ютерів, електронної та оптичної продукції",
2021,Переробна промисловість,"виробництво комп’ютерів, електронної та оптичної продукції",
2022,Переробна промисловість,"виробництво комп’ютерів, електронної та оптичної продукції",
2023,Переробна промисловість,"виробництво комп’ютерів, електронної та оптичної продукції",
2015,Переробна промисловість,виробництво електричного устатковання,23.7
2016,Переробна промисловість,виробництво електричного устатковання,
2017,Переробна промисловість,виробництво електричного устатковання,21.0
2018,Переробна промисловість,виробництво електричного устатковання,
2019,Переробна промисловість,виробництво електричного устатковання,19.4
2020,Переробна промисловість,виробництво електричного устатковання,
2021,Переробна промисловість,виробництво електричного устатковання,
2022,Переробна промисловість,виробництво електричного устатковання,
2023,Переробна промисловість,виробництво електричного устатковання,
2015,Переробна промисловість,"виробництво машин і устатковання, не віднесених до інших угруповань",25.3
2016,Переробна промисловість,"виробництво машин і устатковання, не віднесених до інших угруповань",
2017,Переробна промисловість,"виробництво машин і устатковання, не віднесених до інших угруповань",21.9
2018,Переробна промисловість,"виробництво машин і устатковання, не віднесених до інших угруповань",
2019,Переробна промисловість,"виробництво машин і устатковання, не віднесених до інших угруповань",21.1
2020,Переробна промисловість,"виробництво машин і устатковання, не віднесених до інших угруповань",
2021,Переробна промисловість,"виробництво машин і устатковання, не віднесених до інших угруповань",
2022,Переробна промисловість,"виробництво машин і устатковання, не віднесених до інших угруповань",
2023,Переробна промисловість,"виробництво машин і устатковання, не віднесених до інших угруповань",
2015,Переробна промисловість,"виробництво автотранспортних засобів, причепів і напівпричепів та інших транспортних засобів",21.5
2016,Переробна промисловість,"виробництво автотранспортних засобів, причепів і напівпричепів та інших транспортних засобів",
2017,Переробна промисловість,"виробництво автотранспортних засобів, причепів і напівпричепів та інших транспортних засобів",19.4
