Year,Region,Value
2015,,177.0
2016,,186.0
2017,,191.0
2018,,189.0
2019,,187.0
2020,,192.0
2021,,193.0
2022,,193.0
2023,,198.0
2015,Vinnytsya,
2016,Vinnytsya,
2017,Vinnytsya,
2018,Vinnytsya,
2019,Vinnytsya,
2020,Vinnytsya,
2021,Vinnytsya,
2022,Vinnytsya,
2023,Vinnytsya,
2015,Volyn,
2016,Volyn,
2017,Volyn,
2018,Volyn,
2019,Volyn,
2020,Volyn,
2021,Volyn,
2022,Volyn,
2023,Volyn,1.0
2015,Dnipropetrovsk,
2016,Dnipropetrovsk,
2017,Dnipropetrovsk,1.0
2018,Dnipropetrovsk,1.0
2019,Dnipropetrovsk,1.0
2020,Dnipropetrovsk,1.0
2021,Dnipropetrovsk,2.0
2022,Dnipropetrovsk,2.0
2023,Dnipropetrovsk,3.0
2015,Donetsk,7.0
2016,Donetsk,7.0
2017,Donetsk,5.0
2018,Donetsk,6.0
2019,Donetsk,6.0
2020,Donetsk,8.0
2021,Donetsk,8.0
2022,Donetsk,8.0
2023,Donetsk,8.0
2015,Zhytomyr,1.0
2016,Zhytomyr,1.0
2017,Zhytomyr,1.0
2018,Zhytomyr,1.0
2019,Zhytomyr,1.0
2020,Zhytomyr,1.0
2021,Zhytomyr,1.0
2022,Zhytomyr,1.0
2023,Zhytomyr,1.0
2015,Zakarpattya,4.0
2016,Zakarpattya,4.0
2017,Zakarpattya,9.0
2018,Zakarpattya,4.0
2019,Zakarpattya,4.0
2020,Zakarpattya,4.0
2021,Zakarpattya,4.0
2022,Zakarpattya,4.0
2023,Zakarpattya,4.0
2015,Zaporizhzhya,7.0
2016,Zaporizhzhya,7.0
2017,Zaporizhzhya,7.0
2018,Zaporizhzhya,7.0
2019,Zaporizhzhya,7.0
2020,Zaporizhzhya,11.0
2021,Zaporizhzhya,11.0
2022,Zaporizhzhya,11.0
2023,Zaporizhzhya,11.0
2015,Ivano-Frankivsk,1.0
2016,Ivano-Frankivsk,2.0
2017,Ivano-Frankivsk,2.0
2018,Ivano-Frankivsk,2.0
2019,Ivano-Frankivsk,2.0
2020,Ivano-Frankivsk,1.0
2021,Ivano-Frankivsk,1.0
2022,Ivano-Frankivsk,1.0
2023,Ivano-Frankivsk,2.0
2015,Kyiv,1.0
2016,Kyiv,11.0
