Year,Region,Age,Value
2021,29_reg_Kharkiv,,8.5
2022,29_reg_Kharkiv,,
2023,29_reg_Kharkiv,,
2015,30_reg_Kherson,,34.4
2016,30_reg_Kherson,,32.0
2017,30_reg_Kherson,,29.6
2018,30_reg_Kherson,,25.8
2019,30_reg_Kherson,,21.3
2020,30_reg_Kherson,,20.4
2021,30_reg_Kherson,,17.0
2022,30_reg_Kherson,,
2023,30_reg_Kherson,,
2015,31_reg_Khmelnytskiy,,34.1
2016,31_reg_Khmelnytskiy,,28.9
2017,31_reg_Khmelnytskiy,,24.8
2018,31_reg_Khmelnytskiy,,22.3
2019,31_reg_Khmelnytskiy,,20.4
2020,31_reg_Khmelnytskiy,,18.6
2021,31_reg_Khmelnytskiy,,16.2
2022,31_reg_Khmelnytskiy,,
2023,31_reg_Khmelnytskiy,,
2015,32_reg_Cherkasy,,29.9
2016,32_reg_Cherkasy,,27.9
2017,32_reg_Cherkasy,,25.8
2018,32_reg_Cherkasy,,20.9
2019,32_reg_Cherkasy,,16.7
2020,32_reg_Cherkasy,,16.0
2021,32_reg_Cherkasy,,15.7
2022,32_reg_Cherkasy,,
2023,32_reg_Cherkasy,,
2015,33_reg_Chernivtsi,,27.3
2016,33_reg_Chernivtsi,,23.8
2017,33_reg_Chernivtsi,,24.0
2018,33_reg_Chernivtsi,,19.6
2019,33_reg_Chernivtsi,,18.0
2020,33_reg_Chernivtsi,,17.0
2021,33_reg_Chernivtsi,,16.3
2022,33_reg_Chernivtsi,,
2023,33_reg_Chernivtsi,,
2015,34_reg_Chernihiv,,25.6
2016,34_reg_Chernihiv,,22.5
2017,34_reg_Chernihiv,,19.1
2018,34_reg_Chernihiv,,17.3
2019,34_reg_Chernihiv,,15.0
2020,34_reg_Chernihiv,,14.3
2021,34_reg_Chernihiv,,12.4
2022,34_reg_Chernihiv,,
2023,34_reg_Chernihiv,,
2015,35_reg_Kyiv_city,,8.2
2016,35_reg_Kyiv_city,,7.6
2017,35_reg_Kyiv_city,,7.5
2018,35_reg_Kyiv_city,,6.5
2019,35_reg_Kyiv_city,,5.7
2020,35_reg_Kyiv_city,,5.4
2021,35_reg_Kyiv_city,,4.1
2022,35_reg_Kyiv_city,,
2023,35_reg_Kyiv_city,,
2015,,aged_15,3.9
2016,,aged_15,4.2
2017,,aged_15,3.3
2018,,aged_15,3.8
2019,,aged_15,2.8
2020,,aged_15,2.2
2021,,aged_15,2.1
2022,,aged_15,
2023,,aged_15,
2015,,aged_16,9.8
2016,,aged_16,8.6
2017,,aged_16,7.4
2018,,aged_16,7.1
2019,,aged_16,6.1
2020,,aged_16,5.9
2021,,aged_16,4.9
2022,,aged_16,
2023,,aged_16,
2015,,aged_17,20.8
2016,,aged_17,19.7
2017,,aged_17,17.0
2018,,aged_17,15.4
2019,,aged_17,13.5
2020,,aged_17,13.1
2021,,aged_17,11.2
2022,,aged_17,
2023,,aged_17,
2015,,aged_18,38.4
2016,,aged_18,35.1
2017,,aged_18,31.5
2018,,aged_18,27.9
2019,,aged_18,24.0
2020,,aged_18,22.6
2021,,aged_18,20.6
2022,,aged_18,
2023,,aged_18,
2015,,aged_19,55.6
2016,,aged_19,52.4
2017,,aged_19,48.6
2018,,aged_19,43.0
2019,,aged_19,38.7
2020,,aged_19,37.4
2021,,aged_19,32.5
2022,,aged_19,
2023,,aged_19,
2015,,aged_20_under,27.3
2016,,aged_20_under,25.3
2017,,aged_20_under,22.4
2018,,aged_20_under,19.7
2019,,aged_20_under,16.9
2020,,aged_20_under,15.8
2021,,aged_20_under,13.8
2022,,aged_20_under,
2023,,aged_20_under,
