Year,Region,Value
2015,,50.9
2016,,51.4
2017,,51.7
2018,,52.8
2019,,53.6
2020,,53.8
2021,,53.0
2022,,
2023,,
2015,11_reg_Vinnytsya,51.3
2016,11_reg_Vinnytsya,52.6
2017,11_reg_Vinnytsya,54.4
2018,11_reg_Vinnytsya,55.2
2019,11_reg_Vinnytsya,56.4
2020,11_reg_Vinnytsya,57.5
2021,11_reg_Vinnytsya,58.7
2022,11_reg_Vinnytsya,
2023,11_reg_Vinnytsya,
2015,12_reg_Volyn,50.3
2016,12_reg_Volyn,50.4
2017,12_reg_Volyn,51.6
2018,12_reg_Volyn,54.4
2019,12_reg_Volyn,53.5
2020,12_reg_Volyn,55.1
2021,12_reg_Volyn,55.6
2022,12_reg_Volyn,
2023,12_reg_Volyn,
2015,13_reg_Dnipropetrovsk,58.8
2016,13_reg_Dnipropetrovsk,61.9
2017,13_reg_Dnipropetrovsk,64.1
2018,13_reg_Dnipropetrovsk,65.9
2019,13_reg_Dnipropetrovsk,65.9
2020,13_reg_Dnipropetrovsk,65.6
2021,13_reg_Dnipropetrovsk,61.8
2022,13_reg_Dnipropetrovsk,
2023,13_reg_Dnipropetrovsk,
2015,14_reg_Donetsk,53.3
2016,14_reg_Donetsk,54.3
2017,14_reg_Donetsk,50.7
2018,14_reg_Donetsk,49.8
2019,14_reg_Donetsk,49.7
2020,14_reg_Donetsk,48.7
2021,14_reg_Donetsk,46.4
2022,14_reg_Donetsk,
2023,14_reg_Donetsk,
2015,15_reg_Zhytomyr,48.7
2016,15_reg_Zhytomyr,48.9
2017,15_reg_Zhytomyr,50.2
2018,15_reg_Zhytomyr,52.7
2019,15_reg_Zhytomyr,54.2
2020,15_reg_Zhytomyr,54.2
2021,15_reg_Zhytomyr,52.1
2022,15_reg_Zhytomyr,
2023,15_reg_Zhytomyr,
2015,16_reg_Zakarpattya,45.7
2016,16_reg_Zakarpattya,47.6
2017,16_reg_Zakarpattya,47.0
2018,16_reg_Zakarpattya,48.7
2019,16_reg_Zakarpattya,49.9
2020,16_reg_Zakarpattya,52.2
2021,16_reg_Zakarpattya,53.4
2022,16_reg_Zakarpattya,
2023,16_reg_Zakarpattya,
2015,17_reg_Zaporizhzhya,51.6
2016,17_reg_Zaporizhzhya,51.0
2017,17_reg_Zaporizhzhya,52.2
2018,17_reg_Zaporizhzhya,54.9
2019,17_reg_Zaporizhzhya,55.0
2020,17_reg_Zaporizhzhya,56.1
2021,17_reg_Zaporizhzhya,55.5
2022,17_reg_Zaporizhzhya,
2023,17_reg_Zaporizhzhya,
2015,18_reg_Ivano-Frankivsk,41.7
2016,18_reg_Ivano-Frankivsk,42.6
2017,18_reg_Ivano-Frankivsk,43.9
2018,18_reg_Ivano-Frankivsk,46.7
2019,18_reg_Ivano-Frankivsk,48.7
2020,18_reg_Ivano-Frankivsk,49.8
2021,18_reg_Ivano-Frankivsk,51.2
2022,18_reg_Ivano-Frankivsk,
2023,18_reg_Ivano-Frankivsk,
2015,19_reg_Kyiv,63.3
2016,19_reg_Kyiv,62.5
2017,19_reg_Kyiv,63.8
2018,19_reg_Kyiv,64.0
2019,19_reg_Kyiv,65.0
2020,19_reg_Kyiv,60.6
2021,19_reg_Kyiv,61.2
2022,19_reg_Kyiv,
2023,19_reg_Kyiv,
2015,20_reg_Kirovohrad,53.2
2016,20_reg_Kirovohrad,53.1
2017,20_reg_Kirovohrad,54.3
2018,20_reg_Kirovohrad,55.8
2019,20_reg_Kirovohrad,57.8
2020,20_reg_Kirovohrad,57.8
2021,20_reg_Kirovohrad,56.5
2022,20_reg_Kirovohrad,
2023,20_reg_Kirovohrad,
2015,21_reg_Luhansk,37.5
2016,21_reg_Luhansk,39.6
2017,21_reg_Luhansk,36.3
2018,21_reg_Luhansk,39.8
