Year,Ec_activ,including,Value
2016,5_el_gas,,
2017,5_el_gas,,34.9
2018,5_el_gas,,
2019,5_el_gas,,34.0
2020,5_el_gas,,
2021,5_el_gas,,
2022,5_el_gas,,
2023,5_el_gas,,
2015,6_water,,35.3
2016,6_water,,
2017,6_water,,35.4
2018,6_water,,
2019,6_water,,36.5
2020,6_water,,
2021,6_water,,
2022,6_water,,
2023,6_water,,
2015,7_constr,,20.8
2016,7_constr,,
2017,7_constr,,20.5
2018,7_constr,,
2019,7_constr,,22.5
2020,7_constr,,
2021,7_constr,,
2022,7_constr,,
2023,7_constr,,
2015,8_trans_act,,23.1
2016,8_trans_act,,
2017,8_trans_act,,23.5
2018,8_trans_act,,
2019,8_trans_act,,27.0
2020,8_trans_act,,
2021,8_trans_act,,
2022,8_trans_act,,
2023,8_trans_act,,
2015,9_telec,,11.4
2016,9_telec,,
2017,9_telec,,10.7
2018,9_telec,,
2019,9_telec,,11.1
2020,9_telec,,
2021,9_telec,,
2022,9_telec,,
2023,9_telec,,
