Year,Region,Value
2015,,8.6
2016,,9.6
2017,,10.8
2018,,11.8
2019,,12.5
2020,,12.4
2021,,13.2
2022,,
2023,,
2015,11_reg_Vinnytsya,10.8
2016,11_reg_Vinnytsya,11.8
2017,11_reg_Vinnytsya,13.3
2018,11_reg_Vinnytsya,14.1
2019,11_reg_Vinnytsya,15.4
2020,11_reg_Vinnytsya,14.7
2021,11_reg_Vinnytsya,15.3
2022,11_reg_Vinnytsya,
2023,11_reg_Vinnytsya,
2015,12_reg_Volyn,7.7
2016,12_reg_Volyn,8.7
2017,12_reg_Volyn,10.2
2018,12_reg_Volyn,12.0
2019,12_reg_Volyn,12.5
2020,12_reg_Volyn,13.5
2021,12_reg_Volyn,13.2
2022,12_reg_Volyn,
2023,12_reg_Volyn,
2015,13_reg_Dnipropetrovsk,8.7
2016,13_reg_Dnipropetrovsk,10.3
2017,13_reg_Dnipropetrovsk,11.3
2018,13_reg_Dnipropetrovsk,12.1
2019,13_reg_Dnipropetrovsk,13.0
2020,13_reg_Dnipropetrovsk,13.0
2021,13_reg_Dnipropetrovsk,13.9
2022,13_reg_Dnipropetrovsk,
2023,13_reg_Dnipropetrovsk,
2015,14_reg_Donetsk,9.8
2016,14_reg_Donetsk,10.5
2017,14_reg_Donetsk,11.2
2018,14_reg_Donetsk,12.1
2019,14_reg_Donetsk,12.9
2020,14_reg_Donetsk,12.5
2021,14_reg_Donetsk,12.4
2022,14_reg_Donetsk,
2023,14_reg_Donetsk,
2015,15_reg_Zhytomyr,10.0
2016,15_reg_Zhytomyr,11.0
2017,15_reg_Zhytomyr,14.3
2018,15_reg_Zhytomyr,15.7
2019,15_reg_Zhytomyr,15.0
2020,15_reg_Zhytomyr,14.4
2021,15_reg_Zhytomyr,13.8
2022,15_reg_Zhytomyr,
2023,15_reg_Zhytomyr,
2015,16_reg_Zakarpattya,5.7
2016,16_reg_Zakarpattya,6.7
2017,16_reg_Zakarpattya,7.1
2018,16_reg_Zakarpattya,7.5
2019,16_reg_Zakarpattya,8.0
2020,16_reg_Zakarpattya,8.0
2021,16_reg_Zakarpattya,9.7
2022,16_reg_Zakarpattya,
2023,16_reg_Zakarpattya,
2015,17_reg_Zaporizhzhya,9.3
2016,17_reg_Zaporizhzhya,10.3
2017,17_reg_Zaporizhzhya,12.2
2018,17_reg_Zaporizhzhya,13.4
2019,17_reg_Zaporizhzhya,13.6
2020,17_reg_Zaporizhzhya,13.2
2021,17_reg_Zaporizhzhya,13.4
