Year,Ec_activ,Value
2018,38_man_oth_veh,5.3
2019,38_man_oth_veh,1.6
2020,38_man_oth_veh,4.4
2021,38_man_oth_veh,
2022,38_man_oth_veh,
2023,38_man_oth_veh,
2015,39_man_furn,2.8
2016,39_man_furn,
2017,39_man_furn,0.7
2018,39_man_furn,2.2
2019,39_man_furn,1.0
2020,39_man_furn,1.4
2021,39_man_furn,
2022,39_man_furn,
2023,39_man_furn,
2015,40_man_oth_prod,1.1
2016,40_man_oth_prod,
2017,40_man_oth_prod,1.0
2018,40_man_oth_prod,0.5
2019,40_man_oth_prod,0.3
2020,40_man_oth_prod,3.1
2021,40_man_oth_prod,
2022,40_man_oth_prod,
2023,40_man_oth_prod,
2015,41_repair,0.9
2016,41_repair,
2017,41_repair,0.1
2018,41_repair,0.7
2019,41_repair,0.4
2020,41_repair,0.2
2021,41_repair,
2022,41_repair,
2023,41_repair,
2015,42_suppl_elec,0.0
2016,42_suppl_elec,
2017,42_suppl_elec,0.0
2018,42_suppl_elec,
2019,42_suppl_elec,
2020,42_suppl_elec,
2021,42_suppl_elec,
2022,42_suppl_elec,
2023,42_suppl_elec,
2015,43_suppl_wat,0.0
2016,43_suppl_wat,
2017,43_suppl_wat,0.0
2018,43_suppl_wat,
2019,43_suppl_wat,
2020,43_suppl_wat,
2021,43_suppl_wat,
2022,43_suppl_wat,
2023,43_suppl_wat,
2015,44_collec_wat,0.0
2016,44_collec_wat,
2017,44_collec_wat,
2018,44_collec_wat,
2019,44_collec_wat,
2020,44_collec_wat,
2021,44_collec_wat,
2022,44_collec_wat,
2023,44_collec_wat,
2015,45_waste_wat,
2016,45_waste_wat,
2017,45_waste_wat,
2018,45_waste_wat,
2019,45_waste_wat,
2020,45_waste_wat,
2021,45_waste_wat,
2022,45_waste_wat,
2023,45_waste_wat,
2015,46_restor,0.0
2016,46_restor,
2017,46_restor,0.0
2018,46_restor,
2019,46_restor,
2020,46_restor,
2021,46_restor,
2022,46_restor,
2023,46_restor,
2015,47_waste_act,
2016,47_waste_act,
2017,47_waste_act,
2018,47_waste_act,
2019,47_waste_act,
2020,47_waste_act,
2021,47_waste_act,
2022,47_waste_act,
2023,47_waste_act,
