Year,Region,Value
2015,,36.7
2016,,37.1
2017,,35.6
2018,,33.5
2019,,32.0
2020,,30.7
2021,,28.8
2022,,27.7
2023,,27.6
2015,11_reg_Vinnytsya,42.4
2016,11_reg_Vinnytsya,39.1
2017,11_reg_Vinnytsya,38.7
2018,11_reg_Vinnytsya,35.6
2019,11_reg_Vinnytsya,32.7
2020,11_reg_Vinnytsya,30.2
2021,11_reg_Vinnytsya,33.8
2022,11_reg_Vinnytsya,34.9
2023,11_reg_Vinnytsya,
2015,12_reg_Volyn,57.5
2016,12_reg_Volyn,50.7
2017,12_reg_Volyn,45.1
2018,12_reg_Volyn,46.8
2019,12_reg_Volyn,31.8
2020,12_reg_Volyn,30.1
2021,12_reg_Volyn,31.2
2022,12_reg_Volyn,26.9
2023,12_reg_Volyn,
2015,13_reg_Dnipropetrovsk,45.4
2016,13_reg_Dnipropetrovsk,45.3
2017,13_reg_Dnipropetrovsk,45.4
2018,13_reg_Dnipropetrovsk,41.5
2019,13_reg_Dnipropetrovsk,38.9
2020,13_reg_Dnipropetrovsk,34.9
2021,13_reg_Dnipropetrovsk,31.6
2022,13_reg_Dnipropetrovsk,31.8
2023,13_reg_Dnipropetrovsk,
2015,14_reg_Donetsk,44.6
2016,14_reg_Donetsk,26.7
2017,14_reg_Donetsk,26.5
2018,14_reg_Donetsk,26.6
2019,14_reg_Donetsk,37.0
2020,14_reg_Donetsk,39.0
2021,14_reg_Donetsk,33.7
2022,14_reg_Donetsk,25.1
2023,14_reg_Donetsk,
2015,15_reg_Zhytomyr,38.2
2016,15_reg_Zhytomyr,37.1
2017,15_reg_Zhytomyr,43.0
2018,15_reg_Zhytomyr,43.0
2019,15_reg_Zhytomyr,41.3
2020,15_reg_Zhytomyr,41.7
2021,15_reg_Zhytomyr,31.2
2022,15_reg_Zhytomyr,26.3
2023,15_reg_Zhytomyr,
2015,16_reg_Zakarpattya,35.6
2016,16_reg_Zakarpattya,35.8
2017,16_reg_Zakarpattya,29.7
2018,16_reg_Zakarpattya,30.3
2019,16_reg_Zakarpattya,30.2
2020,16_reg_Zakarpattya,29.5
2021,16_reg_Zakarpattya,21.6
2022,16_reg_Zakarpattya,21.9
2023,16_reg_Zakarpattya,
2015,17_reg_Zaporizhzhya,37.6
2016,17_reg_Zaporizhzhya,36.0
2017,17_reg_Zaporizhzhya,35.8
2018,17_reg_Zaporizhzhya,31.7
2019,17_reg_Zaporizhzhya,33.5
2020,17_reg_Zaporizhzhya,32.8
2021,17_reg_Zaporizhzhya,29.2
2022,17_reg_Zaporizhzhya,30.0
2023,17_reg_Zaporizhzhya,
2015,18_reg_Ivano-Frankivsk,47.0
2016,18_reg_Ivano-Frankivsk,45.9
2017,18_reg_Ivano-Frankivsk,42.2
2018,18_reg_Ivano-Frankivsk,39.6
2019,18_reg_Ivano-Frankivsk,42.8
2020,18_reg_Ivano-Frankivsk,46.2
2021,18_reg_Ivano-Frankivsk,41.4
2022,18_reg_Ivano-Frankivsk,34.0
2023,18_reg_Ivano-Frankivsk,
2015,19_reg_Kyiv,39.9
2016,19_reg_Kyiv,38.4
2017,19_reg_Kyiv,37.6
2018,19_reg_Kyiv,35.2
2019,19_reg_Kyiv,33.3
2020,19_reg_Kyiv,33.2
2021,19_reg_Kyiv,29.5
2022,19_reg_Kyiv,29.3
2023,19_reg_Kyiv,
2015,20_reg_Kirovohrad,55.1
2016,20_reg_Kirovohrad,58.3
2017,20_reg_Kirovohrad,56.5
2018,20_reg_Kirovohrad,56.4
2019,20_reg_Kirovohrad,32.2
2020,20_reg_Kirovohrad,42.5
2021,20_reg_Kirovohrad,
2022,20_reg_Kirovohrad,
2023,20_reg_Kirovohrad,
2015,21_reg_Luhansk,41.9
2016,21_reg_Luhansk,46.7
2017,21_reg_Luhansk,48.9
2018,21_reg_Luhansk,45.8
2019,21_reg_Luhansk,46.7
2020,21_reg_Luhansk,50.3
2021,21_reg_Luhansk,
2022,21_reg_Luhansk,
2023,21_reg_Luhansk,
2015,22_reg_Lviv,34.3
2016,22_reg_Lviv,35.0
2017,22_reg_Lviv,34.0
2018,22_reg_Lviv,33.3
2019,22_reg_Lviv,32.1
2020,22_reg_Lviv,31.6
2021,22_reg_Lviv,30.1
2022,22_reg_Lviv,27.5
2023,22_reg_Lviv,
2015,23_reg_Mykolayiv,32.9
2016,23_reg_Mykolayiv,39.6
2017,23_reg_Mykolayiv,40.9
2018,23_reg_Mykolayiv,34.9
2019,23_reg_Mykolayiv,30.8
2020,23_reg_Mykolayiv,32.3
2021,23_reg_Mykolayiv,31.4
2022,23_reg_Mykolayiv,27.6
2023,23_reg_Mykolayiv,
2015,24_reg_Odesa,33.9
2016,24_reg_Odesa,35.7
2017,24_reg_Odesa,32.7
2018,24_reg_Odesa,29.9
2019,24_reg_Odesa,29.6
2020,24_reg_Odesa,26.8
2021,24_reg_Odesa,25.6
2022,24_reg_Odesa,24.4
2023,24_reg_Odesa,
2015,25_reg_Poltava,46.3
2016,25_reg_Poltava,46.8
2017,25_reg_Poltava,41.9
2018,25_reg_Poltava,37.6
2019,25_reg_Poltava,32.4
2020,25_reg_Poltava,27.1
2021,25_reg_Poltava,24.7
2022,25_reg_Poltava,23.6
2023,25_reg_Poltava,
2015,26_reg_Rivne,47.5
2016,26_reg_Rivne,45.3
2017,26_reg_Rivne,49.5
2018,26_reg_Rivne,43.1
2019,26_reg_Rivne,42.6
2020,26_reg_Rivne,40.4
2021,26_reg_Rivne,42.2
2022,26_reg_Rivne,37.8
2023,26_reg_Rivne,
2015,27_reg_Sumy,44.4
2016,27_reg_Sumy,44.8
2017,27_reg_Sumy,52.3
2018,27_reg_Sumy,48.8
2019,27_reg_Sumy,38.7
2020,27_reg_Sumy,43.1
2021,27_reg_Sumy,43.6
2022,27_reg_Sumy,44.0
2023,27_reg_Sumy,
2015,28_reg_Ternopil,44.3
2016,28_reg_Ternopil,51.1
2017,28_reg_Ternopil,47.4
2018,28_reg_Ternopil,43.0
2019,28_reg_Ternopil,28.6
2020,28_reg_Ternopil,42.0
2021,28_reg_Ternopil,23.6
2022,28_reg_Ternopil,25.2
2023,28_reg_Ternopil,
2015,29_reg_Kharkiv,33.8
2016,29_reg_Kharkiv,34.1
2017,29_reg_Kharkiv,31.0
2018,29_reg_Kharkiv,29.6
2019,29_reg_Kharkiv,27.4
2020,29_reg_Kharkiv,25.7
2021,29_reg_Kharkiv,22.4
2022,29_reg_Kharkiv,22.4
2023,29_reg_Kharkiv,
2015,30_reg_Kherson,41.4
2016,30_reg_Kherson,40.4
2017,30_reg_Kherson,40.9
2018,30_reg_Kherson,40.0
2019,30_reg_Kherson,33.6
2020,30_reg_Kherson,35.2
2021,30_reg_Kherson,32.3
2022,30_reg_Kherson,
2023,30_reg_Kherson,
2015,31_reg_Khmelnytskiy,50.0
2016,31_reg_Khmelnytskiy,51.4
2017,31_reg_Khmelnytskiy,45.5
2018,31_reg_Khmelnytskiy,47.8
2019,31_reg_Khmelnytskiy,44.8
2020,31_reg_Khmelnytskiy,38.8
2021,31_reg_Khmelnytskiy,33.3
2022,31_reg_Khmelnytskiy,20.4
2023,31_reg_Khmelnytskiy,
2015,32_reg_Cherkasy,37.1
2016,32_reg_Cherkasy,40.7
2017,32_reg_Cherkasy,41.6
2018,32_reg_Cherkasy,36.3
2019,32_reg_Cherkasy,35.4
2020,32_reg_Cherkasy,35.9
2021,32_reg_Cherkasy,32.0
2022,32_reg_Cherkasy,31.7
2023,32_reg_Cherkasy,
2015,33_reg_Chernivtsi,46.8
2016,33_reg_Chernivtsi,41.1
2017,33_reg_Chernivtsi,43.5
2018,33_reg_Chernivtsi,41.8
2019,33_reg_Chernivtsi,39.6
2020,33_reg_Chernivtsi,38.5
2021,33_reg_Chernivtsi,37.9
2022,33_reg_Chernivtsi,34.4
2023,33_reg_Chernivtsi,
2015,34_reg_Chernihiv,34.7
2016,34_reg_Chernihiv,41.3
2017,34_reg_Chernihiv,38.0
2018,34_reg_Chernihiv,40.0
2019,34_reg_Chernihiv,33.9
2020,34_reg_Chernihiv,38.8
2021,34_reg_Chernihiv,34.8
2022,34_reg_Chernihiv,33.3
2023,34_reg_Chernihiv,
2015,35_reg_Kyiv_city,34.9
2016,35_reg_Kyiv_city,35.0
2017,35_reg_Kyiv_city,33.1
2018,35_reg_Kyiv_city,31.6
2019,35_reg_Kyiv_city,31.3
2020,35_reg_Kyiv_city,30.0
2021,35_reg_Kyiv_city,28.7
2022,35_reg_Kyiv_city,27.3
2023,35_reg_Kyiv_city,
