Year,Region,Value
2015,,160.8
2016,,163.7
2017,,159.7
2018,,163.9
2019,,164.7
2020,,164.0
2021,,165.9
2022,,
2023,,
2015,11_reg_Vinnytsya,170.3
2016,11_reg_Vinnytsya,176.0
2017,11_reg_Vinnytsya,170.9
2018,11_reg_Vinnytsya,167.2
2019,11_reg_Vinnytsya,167.2
2020,11_reg_Vinnytsya,174.5
2021,11_reg_Vinnytsya,176.2
2022,11_reg_Vinnytsya,
2023,11_reg_Vinnytsya,
2015,12_reg_Volyn,153.6
2016,12_reg_Volyn,155.5
2017,12_reg_Volyn,155.3
2018,12_reg_Volyn,153.8
2019,12_reg_Volyn,154.9
2020,12_reg_Volyn,164.5
2021,12_reg_Volyn,164.5
2022,12_reg_Volyn,
2023,12_reg_Volyn,
2015,13_reg_Dnipropetrovsk,184.2
2016,13_reg_Dnipropetrovsk,185.7
2017,13_reg_Dnipropetrovsk,173.5
2018,13_reg_Dnipropetrovsk,179.2
2019,13_reg_Dnipropetrovsk,177.9
2020,13_reg_Dnipropetrovsk,168.1
2021,13_reg_Dnipropetrovsk,172.2
2022,13_reg_Dnipropetrovsk,
2023,13_reg_Dnipropetrovsk,
2015,14_reg_Donetsk,140.9
2016,14_reg_Donetsk,147.4
2017,14_reg_Donetsk,144.2
2018,14_reg_Donetsk,142.5
2019,14_reg_Donetsk,143.5
2020,14_reg_Donetsk,140.4
2021,14_reg_Donetsk,143.9
2022,14_reg_Donetsk,
2023,14_reg_Donetsk,
2015,15_reg_Zhytomyr,155.3
2016,15_reg_Zhytomyr,165.8
2017,15_reg_Zhytomyr,160.8
2018,15_reg_Zhytomyr,161.0
2019,15_reg_Zhytomyr,164.3
2020,15_reg_Zhytomyr,169.2
2021,15_reg_Zhytomyr,170.0
2022,15_reg_Zhytomyr,
2023,15_reg_Zhytomyr,
2015,16_reg_Zakarpattya,154.8
2016,16_reg_Zakarpattya,162.0
2017,16_reg_Zakarpattya,154.9
2018,16_reg_Zakarpattya,162.1
2019,16_reg_Zakarpattya,156.7
2020,16_reg_Zakarpattya,170.1
2021,16_reg_Zakarpattya,173.3
2022,16_reg_Zakarpattya,
2023,16_reg_Zakarpattya,
2015,17_reg_Zaporizhzhya,173.7
2016,17_reg_Zaporizhzhya,167.7
2017,17_reg_Zaporizhzhya,158.1
2018,17_reg_Zaporizhzhya,167.4
2019,17_reg_Zaporizhzhya,164.2
2020,17_reg_Zaporizhzhya,172.6
2021,17_reg_Zaporizhzhya,175.3
2022,17_reg_Zaporizhzhya,
2023,17_reg_Zaporizhzhya,
2015,18_reg_Ivano-Frankivsk,135.1
2016,18_reg_Ivano-Frankivsk,138.4
