Year,Область,Value
2015,Миколаївська,100.0
2016,Миколаївська,250.0
2017,Миколаївська,250.0
2018,Миколаївська,325.0
2019,Миколаївська,450.0
2020,Миколаївська,250.0
2021,Миколаївська,350.0
2022,Миколаївська,925.0
2023,Миколаївська,200.0
2015,Одеська,100.0
2016,Одеська,100.0
2017,Одеська,83.0
2018,Одеська,111.0
2019,Одеська,144.0
2020,Одеська,89.0
2021,Одеська,78.0
2022,Одеська,122.0
2023,Одеська,139.0
2015,Полтавська,100.0
2016,Полтавська,89.0
2017,Полтавська,84.0
2018,Полтавська,100.0
2019,Полтавська,68.0
2020,Полтавська,89.0
2021,Полтавська,89.0
2022,Полтавська,142.0
2023,Полтавська,84.0
2015,Рівненська,100.0
2016,Рівненська,500.0
2017,Рівненська,325.0
2018,Рівненська,375.0
2019,Рівненська,200.0
2020,Рівненська,475.0
2021,Рівненська,175.0
2022,Рівненська,225.0
2023,Рівненська,100.0
2015,Сумська,100.0
2016,Сумська,136.0
2017,Сумська,55.0
2018,Сумська,18.0
2019,Сумська,91.0
2020,Сумська,64.0
2021,Сумська,64.0
2022,Сумська,182.0
2023,Сумська,155.0
2015,Тернопільська,100.0
2016,Тернопільська,80.0
2017,Тернопільська,80.0
2018,Тернопільська,130.0
2019,Тернопільська,150.0
2020,Тернопільська,80.0
2021,Тернопільська,120.0
2022,Тернопільська,80.0
2023,Тернопільська,60.0
2015,Харківська,100.0
2016,Харківська,115.0
2017,Харківська,90.0
2018,Харківська,50.0
2019,Харківська,125.0
2020,Харківська,105.0
2021,Харківська,100.0
2022,Харківська,130.0
2023,Харківська,150.0
2015,Херсонська,100.0
2016,Херсонська,89.0
2017,Херсонська,56.0
2018,Херсонська,100.0
2019,Херсонська,33.0
2020,Херсонська,44.0
2021,Херсонська,56.0
2022,Херсонська,144.0
2023,Херсонська,311.0
2015,Хмельницька,100.0
2016,Хмельницька,81.0
2017,Хмельницька,75.0
2018,Хмельницька,69.0
2019,Хмельницька,69.0
2020,Хмельницька,81.0
2021,Хмельницька,50.0
2022,Хмельницька,56.0
2023,Хмельницька,38.0
2015,Черкаська,100.0
2016,Черкаська,113.0
2017,Черкаська,200.0
2018,Черкаська,150.0
2019,Черкаська,138.0
2020,Черкаська,100.0
2021,Черкаська,188.0
2022,Черкаська,175.0
2023,Черкаська,250.0
2015,Чернівецька,100.0
2016,Чернівецька,100.0
2017,Чернівецька,50.0
2018,Чернівецька,50.0
2019,Чернівецька,75.0
2020,Чернівецька,88.0
2021,Чернівецька,50.0
2022,Чернівецька,75.0
2023,Чернівецька,
2015,Чернігівська,100.0
2016,Чернігівська,108.0
2017,Чернігівська,67.0
2018,Чернігівська,100.0
2019,Чернігівська,92.0
2020,Чернігівська,92.0
2021,Чернігівська,125.0
2022,Чернігівська,108.0
2023,Чернігівська,150.0
2015,місто Київ,100.0
2016,місто Київ,66.0
2017,місто Київ,141.0
2018,місто Київ,224.0
2019,місто Київ,179.0
2020,місто Київ,186.0
2021,місто Київ,203.0
2022,місто Київ,145.0
2023,місто Київ,234.0
