Year,Область,Value
2015,Черкаська,24.0
2016,Черкаська,22.3
2017,Черкаська,23.8
2018,Черкаська,23.6
2019,Черкаська,23.4
2020,Черкаська,25.2
2021,Черкаська,20.7
2022,Черкаська,
2023,Черкаська,
2015,Чернівецька,23.6
2016,Чернівецька,22.4
2017,Чернівецька,17.8
2018,Чернівецька,27.2
2019,Чернівецька,20.3
2020,Чернівецька,17.4
2021,Чернівецька,14.5
2022,Чернівецька,
2023,Чернівецька,
2015,Чернігівська,26.2
2016,Чернігівська,24.1
2017,Чернігівська,21.3
2018,Чернігівська,21.9
2019,Чернігівська,19.5
2020,Чернігівська,22.1
2021,Чернігівська,14.7
2022,Чернігівська,
2023,Чернігівська,
2015,місто Київ,25.7
2016,місто Київ,22.4
2017,місто Київ,22.7
2018,місто Київ,27.6
2019,місто Київ,21.9
2020,місто Київ,22.4
2021,місто Київ,22.4
2022,місто Київ,
2023,місто Київ,
